KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 3
WORD_ORDER: [hailed, shier, tales, coy, bale, mans, find, sires, dipped, falls, sicker, sue, dubbed, tin, core]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [14.715279, 12.674239, 17.182339, 20.798323, 17.435865, 21.960606, 13.682671, 16.818258, 26.082932, 18.349882, 20.588358, 25.678751, 29.964375, 6.6235595, 21.717464]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.333336, 0.0]
ERROR_RATE_MWD: [13.333334]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [0.0]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [13.333334]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.333336, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [292.61942, 141.68146, 292.6014, 260.11368, 75.88181, 206.80714, 311.91772, 192.73088, 145.62076, 150.62184, 139.00856, 180.53658, 253.30623, 412.5974, 177.63867]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [292.61942, 141.68146, 292.6014, 260.11368, 75.88181, 206.80714, 311.91772, 192.73088, 145.62076, 150.62184, 139.00856, 180.53658, 253.30623, 412.5974, 177.63867]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [292.61942, 141.68146, 292.6014, 260.11368, 75.88181, 206.80714, 311.91772, 192.73088, 145.62076, 150.62184, 139.00856, 180.53658, 253.30623, 412.5974, 177.63867]
KEYBOARD_TYPE: leapAirStatic
PRACTICE_WORDS_PER_INPUT: 7
WORD_ORDER: [balls, yipped, sir, got, hales, sire, lane, sores, gape, socket, rub, subbed, bailed, shirt, rind]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 2, 1, 3, 8, 1, 1, 1, 3, 1, 5, 1, 7, 3, 5]
DISTANCE_TRAVELED_TOUCH_ONLY: [1717.1707, 2175.6494, 912.3234, 1079.117, 3550.727, 1062.0045, 1548.6873, 1212.6611, 1925.4429, 2087.6038, 1374.0876, 1148.4146, 2012.1299, 1644.8461, 1766.4094]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [1717.1707, 2089.4368, 912.3234, 1079.117, 3550.727, 1062.0045, 1548.6873, 1212.6611, 1925.4429, 2087.6038, 1315.6198, 1148.4146, 2012.1299, 1644.8461, 1480.2068]
TIME_DURATION_TOUCH_ONLY: [3.6998944, 5.4890757, 2.1503878, 1.7259598, 9.804446, 2.0687294, 2.7292175, 2.3562167, 2.5499918, 3.6732898, 2.1155667, 2.774189, 4.0563216, 2.489382, 4.221328]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [3.6998944, 4.70942, 2.1503878, 1.7259598, 9.804446, 2.0687294, 2.7292175, 2.3562167, 2.5499918, 3.6732898, 1.75619, 2.774189, 4.0563216, 2.489382, 2.6893218]
AVERAGE_PIXEL_VELOCITY: [466.0072, 396.59616, 424.1961, 294.57135, 362.8533, 513.48584, 569.77313, 515.8193, 458.19427, 569.0752, 356.84436, 412.39774, 374.83447, 377.9052, 301.91635]
REACTION_TIME_FIRST_PRESSED: [3.7955546, 2.8844018, 2.5009196, 9.153839, 2.550954, 2.3175254, 2.3175132, 2.150835, 7.2363067, 2.0174286, 6.752794, 2.5676384, 12.355253, 6.636064, 6.686108]
REACTION_TIME_FIRST_TOUCH: [3.7955546, 2.8844018, 2.5009196, 3.6181052, 2.550954, 2.3175254, 2.3175132, 2.150835, 3.6847575, 2.0174286, 3.267977, 2.5676384, 3.1512752, 1.9506854, 2.5843544]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 1.1338098, 0.0, 1.7507122, 1.3171616, 0.0, 0.0, 0.0, 1.2671969, 0.0, 1.6506567, 0.0, 1.6506412, 1.2671955, 2.0508382]
TEXT_ENTRY_RATE_WPM: [12.973343, 10.930802, 11.160777, 13.905307, 4.895738, 17.401987, 13.190593, 20.371641, 14.117693, 16.334133, 11.344478, 21.627943, 14.791727, 19.281895, 8.528122]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [12.973343, 12.740421, 11.160777, 13.905307, 4.895738, 17.401987, 13.190593, 20.371641, 14.117693, 16.334133, 13.665949, 21.627943, 14.791727, 19.281895, 13.386275]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [8.004858, 8.598578, 7.73976, 3.3088844, 4.8561764, 10.943277, 9.511107, 13.312472, 4.9048166, 12.652181, 4.0593753, 13.478534, 4.3871474, 6.575021, 4.4006677]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [8.004858, 9.481391, 7.73976, 3.3088844, 4.8561764, 10.943277, 9.511107, 13.312472, 4.9048166, 12.652181, 4.2308226, 13.478534, 4.3871474, 6.575021, 5.1197653]
ERROR_RATE_KSPC: [1.0, 1.6666666, 1.0, 3.0, 5.4, 1.0, 1.0, 1.0, 2.0, 1.0, 3.6666667, 1.0, 2.0, 1.8, 4.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.6666666, 1.0, 3.0, 5.4, 1.0, 1.0, 1.0, 2.0, 1.0, 2.5, 1.0, 2.0, 1.8, 1.8571428]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 42.857143]
