PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 1336488787779
TIME_WORD_START: 1336490070891; WORD_VALUE: got
TIME_SPECIAL: 1337514517135; POINT_POSITION: (436.861, 189.954, 0); TOOL_DIRECTION: (-0.14381, -0.461746, -0.875276)
TIME_PRESSED: 1337514609293; KEY_PRESSED: VK_G; KEY_EXPECTED: VK_G
TIME_SPECIAL: 1337531197298; POINT_POSITION: (436.512, 189.534, 0); TOOL_DIRECTION: (-0.143344, -0.465014, -0.873621)
TIME_SPECIAL: 1337547854422; POINT_POSITION: (436.177, 189.208, 0); TOOL_DIRECTION: (-0.143246, -0.465619, -0.873315)
TIME_SPECIAL: 1337564512968; POINT_POSITION: (435.799, 189.031, 0); TOOL_DIRECTION: (-0.142747, -0.463693, -0.874421)
TIME_SPECIAL: 1337581198535; POINT_POSITION: (435.406, 188.96, 0); TOOL_DIRECTION: (-0.142879, -0.460943, -0.875852)
TIME_SPECIAL: 1337597850539; POINT_POSITION: (435.256, 188.949, 0); TOOL_DIRECTION: (-0.142497, -0.460103, -0.876356)
TIME_SPECIAL: 1337614554311; POINT_POSITION: (434.964, 188.931, 0); TOOL_DIRECTION: (-0.142904, -0.459473, -0.87662)
TIME_SPECIAL: 1337631152271; POINT_POSITION: (434.716, 188.922, 0); TOOL_DIRECTION: (-0.143098, -0.458578, -0.877057)
TIME_SPECIAL: 1337647891598; POINT_POSITION: (434.513, 188.92, 0); TOOL_DIRECTION: (-0.143034, -0.45684, -0.877974)
TIME_SPECIAL: 1337664580864; POINT_POSITION: (434.55, 188.86, 0); TOOL_DIRECTION: (-0.139603, -0.458794, -0.877507)
TIME_SPECIAL: 1337681168015; POINT_POSITION: (435.075, 188.753, 0); TOOL_DIRECTION: (-0.135283, -0.459459, -0.877836)
TIME_SPECIAL: 1337697902791; POINT_POSITION: (435.86, 188.718, 0); TOOL_DIRECTION: (-0.130203, -0.459128, -0.878777)
TIME_SPECIAL: 1337714572145; POINT_POSITION: (440.244, 188.531, 0); TOOL_DIRECTION: (-0.117497, -0.461992, -0.879067)
TIME_SPECIAL: 1337731258851; POINT_POSITION: (452.101, 188.286, 0); TOOL_DIRECTION: (-0.103486, -0.460402, -0.881658)
TIME_SPECIAL: 1337747968027; POINT_POSITION: (472.737, 188.13, 0); TOOL_DIRECTION: (-0.0878948, -0.462706, -0.882144)
TIME_SPECIAL: 1337764624298; POINT_POSITION: (492.32, 187.892, 0); TOOL_DIRECTION: (-0.0763856, -0.466677, -0.881123)
TIME_SPECIAL: 1337781301332; POINT_POSITION: (511.1, 187.942, 0); TOOL_DIRECTION: (-0.062527, -0.469851, -0.880529)
TIME_SPECIAL: 1337797966705; POINT_POSITION: (520.406, 188.566, 0); TOOL_DIRECTION: (-0.0578094, -0.467705, -0.881992)
TIME_SPECIAL: 1337814634353; POINT_POSITION: (541.504, 190.15, 0); TOOL_DIRECTION: (-0.0418809, -0.461945, -0.885919)
TIME_SPECIAL: 1337831313663; POINT_POSITION: (560.718, 191.612, 0); TOOL_DIRECTION: (-0.0286284, -0.455134, -0.889962)
TIME_SPECIAL: 1337847987853; POINT_POSITION: (580.491, 194.069, 0); TOOL_DIRECTION: (-0.0166415, -0.444451, -0.895649)
TIME_SPECIAL: 1337864687643; POINT_POSITION: (601.414, 196.535, 0); TOOL_DIRECTION: (-0.00224863, -0.424674, -0.905344)
TIME_SPECIAL: 1337881343060; POINT_POSITION: (617.182, 195.517, 0); TOOL_DIRECTION: (0.00421143, -0.460917, -0.887433)
TIME_SPECIAL: 1337898011561; POINT_POSITION: (626.924, 198.188, 0); TOOL_DIRECTION: (0.0116414, -0.442474, -0.896706)
TIME_SPECIAL: 1337914696275; POINT_POSITION: (642.552, 200.321, 0); TOOL_DIRECTION: (0.0187408, -0.427922, -0.903621)
TIME_SPECIAL: 1337931371888; POINT_POSITION: (657.839, 203.337, 0); TOOL_DIRECTION: (0.0276299, -0.41266, -0.910466)
TIME_PRESSED: 1337931424794; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
TIME_SPECIAL: 1337947988336; POINT_POSITION: (671.212, 207.319, 0); TOOL_DIRECTION: (0.0364251, -0.377252, -0.925394)
TIME_SPECIAL: 1337964622136; POINT_POSITION: (682.739, 208.683, 0); TOOL_DIRECTION: (0.0401341, -0.371449, -0.927586)
TIME_SPECIAL: 1337981384503; POINT_POSITION: (694.248, 211.317, 0); TOOL_DIRECTION: (0.0439707, -0.358328, -0.93256)
TIME_SPECIAL: 1337998041057; POINT_POSITION: (701.487, 212.533, 0); TOOL_DIRECTION: (0.0450769, -0.360851, -0.931534)
TIME_SPECIAL: 1338014720367; POINT_POSITION: (704.805, 213.005, 0); TOOL_DIRECTION: (0.0440631, -0.364956, -0.929981)
TIME_SPECIAL: 1338031357580; POINT_POSITION: (711.976, 215.743, 0); TOOL_DIRECTION: (0.0449281, -0.350065, -0.935648)
TIME_SPECIAL: 1338048046277; POINT_POSITION: (716.352, 217.013, 0); TOOL_DIRECTION: (0.0433265, -0.347161, -0.936804)
TIME_SPECIAL: 1338064727578; POINT_POSITION: (721.573, 218.781, 0); TOOL_DIRECTION: (0.0429814, -0.35094, -0.935411)
TIME_SPECIAL: 1338081376168; POINT_POSITION: (723.623, 220.975, 0); TOOL_DIRECTION: (0.0427288, -0.343018, -0.938356)
TIME_SPECIAL: 1338098081647; POINT_POSITION: (720.735, 221.347, 0); TOOL_DIRECTION: (0.0338369, -0.355373, -0.934112)
TIME_SPECIAL: 1338114739624; POINT_POSITION: (718.386, 221.351, 0); TOOL_DIRECTION: (0.0277629, -0.364584, -0.930757)
TIME_SPECIAL: 1338131549208; POINT_POSITION: (714.983, 224.232, 0); TOOL_DIRECTION: (0.0235761, -0.352647, -0.935459)
TIME_SPECIAL: 1338148071791; POINT_POSITION: (712.981, 226.521, 0); TOOL_DIRECTION: (0.0224994, -0.339853, -0.940209)
TIME_SPECIAL: 1338164787225; POINT_POSITION: (710.931, 227.967, 0); TOOL_DIRECTION: (0.0225129, -0.331692, -0.943119)
TIME_SPECIAL: 1338181493842; POINT_POSITION: (708.235, 229.914, 0); TOOL_DIRECTION: (0.0204246, -0.319814, -0.94726)
TIME_SPECIAL: 1338198118823; POINT_POSITION: (704.857, 231.681, 0); TOOL_DIRECTION: (0.0198355, -0.292812, -0.955964)
TIME_SPECIAL: 1338214802969; POINT_POSITION: (698.591, 229.248, 0); TOOL_DIRECTION: (0.0144531, -0.303067, -0.95286)
TIME_SPECIAL: 1338231506741; POINT_POSITION: (693.052, 226.953, 0); TOOL_DIRECTION: (0.0073792, -0.333826, -0.942606)
TIME_SPECIAL: 1338248178940; POINT_POSITION: (687.639, 228.899, 0); TOOL_DIRECTION: (0.0039178, -0.35156, -0.936157)
TIME_SPECIAL: 1338264806766; POINT_POSITION: (683.46, 233.109, 0); TOOL_DIRECTION: (0.00241753, -0.335801, -0.94193)
TIME_SPECIAL: 1338281450806; POINT_POSITION: (678.936, 236.989, 0); TOOL_DIRECTION: (-0.00311244, -0.297767, -0.954633)
TIME_SPECIAL: 1338298159413; POINT_POSITION: (676.552, 239.166, 0); TOOL_DIRECTION: (-0.0040228, -0.26265, -0.964883)
TIME_SPECIAL: 1338314843274; POINT_POSITION: (675.549, 237.434, 0); TOOL_DIRECTION: (-0.00253088, -0.267851, -0.963457)
TIME_SPECIAL: 1338331498976; POINT_POSITION: (675.576, 234.398, 0); TOOL_DIRECTION: (0.00285711, -0.283046, -0.959102)
TIME_SPECIAL: 1338348178001; POINT_POSITION: (675.262, 233.728, 0); TOOL_DIRECTION: (0.00362036, -0.285925, -0.958245)
TIME_SPECIAL: 1338364878929; POINT_POSITION: (674.387, 232.545, 0); TOOL_DIRECTION: (0.00360762, -0.29213, -0.956372)
TIME_SPECIAL: 1338381572176; POINT_POSITION: (670.508, 231.638, 0); TOOL_DIRECTION: (-0.0067822, -0.329763, -0.944039)
TIME_SPECIAL: 1338398207967; POINT_POSITION: (667.484, 233.793, 0); TOOL_DIRECTION: (-0.00975918, -0.335161, -0.94211)
TIME_SPECIAL: 1338414874762; POINT_POSITION: (660.925, 234.118, 0); TOOL_DIRECTION: (-0.0141997, -0.314603, -0.949117)
TIME_SPECIAL: 1338431560045; POINT_POSITION: (648.474, 231.047, 0); TOOL_DIRECTION: (-0.0283824, -0.335551, -0.941594)
TIME_SPECIAL: 1338448203516; POINT_POSITION: (640.592, 231.04, 0); TOOL_DIRECTION: (-0.0350869, -0.334373, -0.941787)
TIME_SPECIAL: 1338464910416; POINT_POSITION: (621.245, 231.64, 0); TOOL_DIRECTION: (-0.0496078, -0.336544, -0.94036)
TIME_SPECIAL: 1338481612766; POINT_POSITION: (598.383, 234.001, 0); TOOL_DIRECTION: (-0.0706519, -0.318252, -0.94537)
TIME_SPECIAL: 1338498289516; POINT_POSITION: (575.352, 235.099, 0); TOOL_DIRECTION: (-0.0917172, -0.315044, -0.944635)
TIME_SPECIAL: 1338514952044; POINT_POSITION: (557.288, 236.331, 0); TOOL_DIRECTION: (-0.106872, -0.305767, -0.946089)
TIME_SPECIAL: 1338531579871; POINT_POSITION: (545.405, 236.117, 0); TOOL_DIRECTION: (-0.113332, -0.312838, -0.943021)
TIME_SPECIAL: 1338548265154; POINT_POSITION: (541.242, 236.937, 0); TOOL_DIRECTION: (-0.114871, -0.310678, -0.943549)
TIME_SPECIAL: 1338564923700; POINT_POSITION: (541.242, 236.937, 0); TOOL_DIRECTION: (-0.114871, -0.310678, -0.943549)
TIME_SPECIAL: 1338581641694; POINT_POSITION: (528.351, 238.721, 0); TOOL_DIRECTION: (-0.11936, -0.302315, -0.945705)
TIME_SPECIAL: 1338598294551; POINT_POSITION: (515.547, 239.145, 0); TOOL_DIRECTION: (-0.126924, -0.302341, -0.944712)
TIME_SPECIAL: 1338614980687; POINT_POSITION: (503.997, 239.592, 0); TOOL_DIRECTION: (-0.134289, -0.304578, -0.942973)
TIME_SPECIAL: 1338631662273; POINT_POSITION: (492.442, 239.718, 0); TOOL_DIRECTION: (-0.143863, -0.297404, -0.943851)
TIME_SPECIAL: 1338648275877; POINT_POSITION: (482.56, 239.98, 0); TOOL_DIRECTION: (-0.152207, -0.291046, -0.944524)
TIME_SPECIAL: 1338664967134; POINT_POSITION: (479.47, 239.975, 0); TOOL_DIRECTION: (-0.154194, -0.288897, -0.944861)
TIME_SPECIAL: 1338681655546; POINT_POSITION: (476.155, 239.848, 0); TOOL_DIRECTION: (-0.154672, -0.290044, -0.944432)
TIME_PRESSED: 1338681708167; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 1338698382642; POINT_POSITION: (473.705, 239.954, 0); TOOL_DIRECTION: (-0.155281, -0.28978, -0.944413)
TIME_SPECIAL: 1338714992264; POINT_POSITION: (469.858, 240.184, 0); TOOL_DIRECTION: (-0.158491, -0.289587, -0.943938)
TIME_SPECIAL: 1338731680392; POINT_POSITION: (464.238, 240.245, 0); TOOL_DIRECTION: (-0.16101, -0.28978, -0.943453)
TIME_SPECIAL: 1338748372786; POINT_POSITION: (458.224, 240.345, 0); TOOL_DIRECTION: (-0.164478, -0.286163, -0.943959)
TIME_SPECIAL: 1338764976151; POINT_POSITION: (455.466, 240.705, 0); TOOL_DIRECTION: (-0.167169, -0.283403, -0.944318)
TIME_SPECIAL: 1338781658021; POINT_POSITION: (449.682, 240.06, 0); TOOL_DIRECTION: (-0.170937, -0.286204, -0.942798)
TIME_SPECIAL: 1338798336193; POINT_POSITION: (443.199, 239.849, 0); TOOL_DIRECTION: (-0.175226, -0.286249, -0.941996)
TIME_SPECIAL: 1338815060445; POINT_POSITION: (437.558, 239.79, 0); TOOL_DIRECTION: (-0.178418, -0.287843, -0.940911)
TIME_SPECIAL: 1338831728093; POINT_POSITION: (432.068, 240.022, 0); TOOL_DIRECTION: (-0.181994, -0.279801, -0.94265)
TIME_SPECIAL: 1338848421340; POINT_POSITION: (427.159, 239.988, 0); TOOL_DIRECTION: (-0.184552, -0.284642, -0.940701)
TIME_SPECIAL: 1338865115441; POINT_POSITION: (423.046, 239.861, 0); TOOL_DIRECTION: (-0.18488, -0.289039, -0.939295)
TIME_SPECIAL: 1338881738432; POINT_POSITION: (421.171, 239.939, 0); TOOL_DIRECTION: (-0.185737, -0.287936, -0.939465)
TIME_SPECIAL: 1338898445617; POINT_POSITION: (419.261, 239.944, 0); TOOL_DIRECTION: (-0.186328, -0.289002, -0.93902)
TIME_SPECIAL: 1338915124074; POINT_POSITION: (417.935, 240.148, 0); TOOL_DIRECTION: (-0.185534, -0.286859, -0.939835)
TIME_SPECIAL: 1338931720896; POINT_POSITION: (416.337, 240.267, 0); TOOL_DIRECTION: (-0.18568, -0.286918, -0.939788)
TIME_SPECIAL: 1338948400775; POINT_POSITION: (415.175, 240.561, 0); TOOL_DIRECTION: (-0.186661, -0.283267, -0.940701)
TIME_SPECIAL: 1338965075819; POINT_POSITION: (414.951, 240.963, 0); TOOL_DIRECTION: (-0.18534, -0.279962, -0.94195)
TIME_SPECIAL: 1338981785564; POINT_POSITION: (414.979, 241.031, 0); TOOL_DIRECTION: (-0.185376, -0.279751, -0.942006)
TIME_SPECIAL: 1338998480234; POINT_POSITION: (415.244, 240.933, 0); TOOL_DIRECTION: (-0.184624, -0.283401, -0.941062)
TIME_SPECIAL: 1339015170068; POINT_POSITION: (415.8, 240.925, 0); TOOL_DIRECTION: (-0.183826, -0.282553, -0.941473)
TIME_SPECIAL: 1339031851654; POINT_POSITION: (416.48, 240.946, 0); TOOL_DIRECTION: (-0.183179, -0.282015, -0.94176)
TIME_SPECIAL: 1339048496546; POINT_POSITION: (417.415, 241.003, 0); TOOL_DIRECTION: (-0.182971, -0.279076, -0.942676)
TIME_SPECIAL: 1339065174719; POINT_POSITION: (418.248, 240.936, 0); TOOL_DIRECTION: (-0.182386, -0.282707, -0.941707)
TIME_SPECIAL: 1339081849193; POINT_POSITION: (419.052, 240.768, 0); TOOL_DIRECTION: (-0.181552, -0.287655, -0.940369)
TIME_SPECIAL: 1339098529641; POINT_POSITION: (419.421, 240.712, 0); TOOL_DIRECTION: (-0.180883, -0.288214, -0.940326)
TIME_SPECIAL: 1339115185342; POINT_POSITION: (420.033, 240.678, 0); TOOL_DIRECTION: (-0.180497, -0.288455, -0.940327)
TIME_PRESSED: 1339115257590; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1339115329269; WORD_VALUE: got
TIME_WORD_START: 1339115392700; WORD_VALUE: sicker
TIME_SPECIAL: 1339131850999; POINT_POSITION: (420.377, 240.707, 0); TOOL_DIRECTION: (-0.181565, -0.287591, -0.940386)
TIME_SPECIAL: 1339148537136; POINT_POSITION: (420.451, 240.787, 0); TOOL_DIRECTION: (-0.182851, -0.28516, -0.940877)
TIME_SPECIAL: 1339165189140; POINT_POSITION: (420.284, 240.836, 0); TOOL_DIRECTION: (-0.183927, -0.285683, -0.940508)
TIME_SPECIAL: 1339181897463; POINT_POSITION: (420.079, 240.876, 0); TOOL_DIRECTION: (-0.184548, -0.284564, -0.940726)
TIME_SPECIAL: 1339198594124; POINT_POSITION: (419.985, 240.904, 0); TOOL_DIRECTION: (-0.184461, -0.284167, -0.940863)
TIME_SPECIAL: 1339215239301; POINT_POSITION: (419.824, 240.948, 0); TOOL_DIRECTION: (-0.184477, -0.28358, -0.941037)
TIME_SPECIAL: 1339231885900; POINT_POSITION: (419.594, 240.987, 0); TOOL_DIRECTION: (-0.185505, -0.283459, -0.940871)
TIME_SPECIAL: 1339248589388; POINT_POSITION: (419.328, 241.021, 0); TOOL_DIRECTION: (-0.186204, -0.281817, -0.941226)
TIME_SPECIAL: 1339265205267; POINT_POSITION: (419.015, 241.091, 0); TOOL_DIRECTION: (-0.188146, -0.275629, -0.942672)
TIME_SPECIAL: 1339281929804; POINT_POSITION: (418.717, 241.13, 0); TOOL_DIRECTION: (-0.188851, -0.273457, -0.943163)
TIME_SPECIAL: 1339298638980; POINT_POSITION: (418.473, 241.138, 0); TOOL_DIRECTION: (-0.189135, -0.274542, -0.942791)
TIME_SPECIAL: 1339315212478; POINT_POSITION: (418.367, 241.139, 0); TOOL_DIRECTION: (-0.189055, -0.274741, -0.942749)
TIME_SPECIAL: 1339331882970; POINT_POSITION: (418.198, 241.14, 0); TOOL_DIRECTION: (-0.188632, -0.274566, -0.942885)
