PRACTICE_WORD_COUNT: 2
TIME_SPECIAL: 1444962163147; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1445212289652; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1445429028240; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1445662483399; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1445895939411; DIRECTION_PRESSED: UP
TIME_PRESSED: 1446129363851; KEY_PRESSED: VK_U; KEY_EXPECTED: VK_U
TIME_SPECIAL: 1446329458399; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1446596174900; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1446829670450; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1447096409990; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1447263179482; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_PRESSED: 1447479997997; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 1447630007398; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1447946840050; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1448196923035; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1448447082820; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1448613801112; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 1448747189229; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1448897316388; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_PRESSED: 1448930570334; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1448930593374; WORD_VALUE: dubbed
TIME_WORD_START: 1448930619258; WORD_VALUE: tippee
TIME_SPECIAL: 1449830945597; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1450081132972; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1450297870706; DIRECTION_PRESSED: UP
TIME_PRESSED: 1450564680503; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 1450764694270; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1451064898242; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1451398365547; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1451598453837; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 1451765196876; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1451998586045; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1452248753794; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_PRESSED: 1452432172730; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 1452582211144; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1452832333382; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1453082422056; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1453332524668; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1453582609929; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1453866085668; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1454099552205; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1454266390816; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_PRESSED: 1454449734090; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_PRESSED: 1454483053458; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1454483086737; WORD_VALUE: tippee
TIME_WORD_START: 1454483122861; WORD_VALUE: gapes
TIME_SPECIAL: 1455133375601; DIRECTION_PRESSED: RIGHT
