PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 1664104557133260
TIME_WORD_START: 1664104558331134; WORD_VALUE: the
TIME_SPECIAL: 1664108269560392; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664108300751137; POINT_POSITION: (510, 113, 0)
TIME_PRESSED: 1664108300841193; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 1664108332330911; POINT_POSITION: (503, 120, 0)
TIME_SPECIAL: 1664108363311416; POINT_POSITION: (495, 128, 0)
TIME_SPECIAL: 1664108394506797; POINT_POSITION: (486, 136, 0)
TIME_SPECIAL: 1664108425755483; POINT_POSITION: (475, 145, 0)
TIME_SPECIAL: 1664108456973047; POINT_POSITION: (464, 155, 0)
TIME_SPECIAL: 1664108488291923; POINT_POSITION: (452, 165, 0)
TIME_SPECIAL: 1664108519522731; POINT_POSITION: (439, 175, 0)
TIME_SPECIAL: 1664108550752876; POINT_POSITION: (426, 186, 0)
TIME_SPECIAL: 1664108582624668; POINT_POSITION: (413, 197, 0)
TIME_SPECIAL: 1664108613352885; POINT_POSITION: (400, 208, 0)
TIME_SPECIAL: 1664108644599253; POINT_POSITION: (386, 218, 0)
TIME_PRESSED: 1664108644703877; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 1664108675857872; POINT_POSITION: (386, 218, 0)
TIME_SPECIAL: 1664108707002596; POINT_POSITION: (362, 237, 0)
TIME_SPECIAL: 1664108738233404; POINT_POSITION: (351, 245, 0)
TIME_SPECIAL: 1664108769534733; POINT_POSITION: (341, 252, 0)
TIME_SPECIAL: 1664108801036700; POINT_POSITION: (341, 258, 0)
TIME_SPECIAL: 1664108831999989; POINT_POSITION: (326, 262, 0)
TIME_SPECIAL: 1664108863311251; POINT_POSITION: (323, 264, 0)
TIME_SPECIAL: 1664108894506963; POINT_POSITION: (322, 265, 0)
TIME_SPECIAL: 1664108926336376; POINT_POSITION: (320, 266, 0)
TIME_SPECIAL: 1664108957003341; POINT_POSITION: (320, 266, 0)
TIME_SPECIAL: 1664108988916851; POINT_POSITION: (321, 266, 0)
TIME_SPECIAL: 1664109020960146; POINT_POSITION: (326, 265, 0)
TIME_SPECIAL: 1664109050988113; POINT_POSITION: (336, 263, 0)
TIME_SPECIAL: 1664109081983849; POINT_POSITION: (349, 261, 0)
TIME_SPECIAL: 1664109113286502; POINT_POSITION: (364, 259, 0)
TIME_SPECIAL: 1664109144710995; POINT_POSITION: (385, 258, 0)
TIME_SPECIAL: 1664109175753745; POINT_POSITION: (409, 257, 0)
TIME_SPECIAL: 1664109207033222; POINT_POSITION: (434, 257, 0)
TIME_SPECIAL: 1664109238451756; POINT_POSITION: (460, 256, 0)
TIME_SPECIAL: 1664109269520661; POINT_POSITION: (487, 255, 0)
TIME_SPECIAL: 1664109300685251; POINT_POSITION: (515, 254, 0)
TIME_SPECIAL: 1664109332048824; POINT_POSITION: (542, 254, 0)
TIME_SPECIAL: 1664109363280294; POINT_POSITION: (567, 254, 0)
TIME_SPECIAL: 1664109394550501; POINT_POSITION: (592, 254, 0)
TIME_SPECIAL: 1664109425766078; POINT_POSITION: (615, 254, 0)
TIME_SPECIAL: 1664109457261093; POINT_POSITION: (638, 254, 0)
TIME_PRESSED: 1664109457347175; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
