PRACTICE_WORD_COUNT: 1
TIME_EXPERIMENT_START: 1598580476020461
TIME_WORD_START: 1598580476496900; WORD_VALUE: limped
TIME_SPECIAL: 1598581889141852; POINT_POSITION: (676.087, 200.174, 0); TOOL_DIRECTION: (0.0496524, 0.150498, -0.987363)
TIME_SPECIAL: 1598581905822627; POINT_POSITION: (672.596, 200.621, 0); TOOL_DIRECTION: (0.0443874, 0.142042, -0.988865)
TIME_SPECIAL: 1598581922481499; POINT_POSITION: (669.924, 205.776, 0); TOOL_DIRECTION: (0.0435345, 0.148789, -0.98791)
TIME_SPECIAL: 1598581939104248; POINT_POSITION: (665.091, 210.505, 0); TOOL_DIRECTION: (0.0417414, 0.157554, -0.986628)
TIME_SPECIAL: 1598581955850729; POINT_POSITION: (659.568, 215.593, 0); TOOL_DIRECTION: (0.0394955, 0.166127, -0.985313)
TIME_SPECIAL: 1598581972477745; POINT_POSITION: (653.386, 221.052, 0); TOOL_DIRECTION: (0.0365696, 0.174315, -0.984011)
TIME_SPECIAL: 1598581989122680; POINT_POSITION: (650.275, 223.84, 0); TOOL_DIRECTION: (0.0345175, 0.176968, -0.983611)
TIME_SPECIAL: 1598582005823935; POINT_POSITION: (650.275, 223.84, 0); TOOL_DIRECTION: (0.0345175, 0.176968, -0.983611)
TIME_SPECIAL: 1598582022582362; POINT_POSITION: (638.521, 231.797, 0); TOOL_DIRECTION: (0.0274081, 0.184351, -0.982478)
TIME_SPECIAL: 1598582039189752; POINT_POSITION: (631.648, 236.618, 0); TOOL_DIRECTION: (0.0242393, 0.18728, -0.982007)
TIME_SPECIAL: 1598582055891575; POINT_POSITION: (625.087, 241.57, 0); TOOL_DIRECTION: (0.0201857, 0.1903, -0.981518)
TIME_PRESSED: 1598582055924286; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598582072503800; POINT_POSITION: (616.701, 245.96, 0); TOOL_DIRECTION: (0.0130206, 0.192613, -0.981188)
TIME_SPECIAL: 1598582089251987; POINT_POSITION: (607.738, 250.226, 0); TOOL_DIRECTION: (0.00409082, 0.193241, -0.981143)
TIME_SPECIAL: 1598582105890949; POINT_POSITION: (599.206, 255.208, 0); TOOL_DIRECTION: (-0.00316778, 0.195978, -0.980603)
TIME_SPECIAL: 1598582122520525; POINT_POSITION: (593.357, 259.615, 0); TOOL_DIRECTION: (-0.00562905, 0.199367, -0.979909)
TIME_SPECIAL: 1598582139250793; POINT_POSITION: (587.659, 263.308, 0); TOOL_DIRECTION: (-0.00843456, 0.20257, -0.979232)
TIME_SPECIAL: 1598582155920190; POINT_POSITION: (581.461, 267.086, 0); TOOL_DIRECTION: (-0.0129571, 0.205288, -0.978616)
TIME_SPECIAL: 1598582172533268; POINT_POSITION: (574.764, 271.033, 0); TOOL_DIRECTION: (-0.0189042, 0.207731, -0.978003)
TIME_SPECIAL: 1598582189251305; POINT_POSITION: (567.984, 274.711, 0); TOOL_DIRECTION: (-0.024974, 0.210559, -0.977262)
TIME_SPECIAL: 1598582205955119; POINT_POSITION: (565.47, 276.433, 0); TOOL_DIRECTION: (-0.026514, 0.211978, -0.976915)
