PRACTICE_WORD_COUNT: 1
TIME_SPECIAL: 1599220540039378; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599220723468454; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599220923583425; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599221190325355; DIRECTION_PRESSED: UP
TIME_PRESSED: 1599221373778040; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599221573918895; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599222074094964; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599222107431483; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599222140816926; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599222174169659; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599222207496222; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599222524285881; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599222841125602; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599222974559286; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599223157901323; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599223341381599; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599223558116190; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599223774829164; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599223924903802; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599224441792219; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599224475169413; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599224508546891; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599224758598944; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599224992101634; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599225192197548; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599225425594141; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599225642367700; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599225892457584; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599226059193085; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599226275908619; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599226542754370; KEY_PRESSED: VK_U; KEY_EXPECTED: VK_U; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599226709429285; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599226959595399; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599227209701780; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599227393091034; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599227559821131; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599227776616878; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1599228126793402; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1599228126824691; WORD_VALUE: nonforfeiture
TIME_WORD_START: 1599228126861384; WORD_VALUE: powder
TIME_SPECIAL: 1599228660318221; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229160607498; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229193903911; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229227200039; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229260592878; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229293906072; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229327277578; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229527377189; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599229860855303; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599230127703898; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599230294392183; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599230461131382; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599230611223655; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599231128084481; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599231161429249; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599231194858496; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599231228115940; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599231261464121; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599231294859804; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599231661673299; KEY_PRESSED: VK_W; KEY_EXPECTED: VK_W; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599231845056865; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599232478754511; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599232778806791; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599233112312780; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599233345800395; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599233562471840; DIRECTION_PRESSED: UP
TIME_PRESSED: 1599233729252852; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599233879324645; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599234012763449; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1599234312861809; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1599234312898502; WORD_VALUE: powder
TIME_WORD_START: 1599234312935764; WORD_VALUE: crackups
TIME_SPECIAL: 1599234646360972; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599234979849894; DIRECTION_PRESSED: LEFT
