PRACTICE_WORD_COUNT: 2
TIME_EXPERIMENT_START: 1598834239085987
TIME_WORD_START: 1598834239656292; WORD_VALUE: channelled
TIME_SPECIAL: 1598836485779073; POINT_POSITION: (296.147, 119.17, 124.182)
TIME_SPECIAL: 1598836502451030; POINT_POSITION: (298.011, 117.97, 124.182)
TIME_SPECIAL: 1598836519169636; POINT_POSITION: (299.942, 116.728, 124.182)
TIME_SPECIAL: 1598836535811158; POINT_POSITION: (301.317, 116.864, 124.182)
TIME_SPECIAL: 1598836552425089; POINT_POSITION: (303.941, 116.124, 124.182)
TIME_SPECIAL: 1598836569152512; POINT_POSITION: (306.258, 115.312, 124.182)
TIME_SPECIAL: 1598836585770426; POINT_POSITION: (307.594, 114.678, 124.182)
TIME_SPECIAL: 1598836602447503; POINT_POSITION: (309.036, 114.325, 124.182)
TIME_SPECIAL: 1598836619156153; POINT_POSITION: (310.004, 114.818, 0)
TIME_PRESSED: 1598836619189717; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598836635839773; POINT_POSITION: (310.597, 115.073, 0)
TIME_SPECIAL: 1598836652480726; POINT_POSITION: (311.197, 116.58, 0)
TIME_SPECIAL: 1598836669213838; POINT_POSITION: (311.084, 119.184, 0)
TIME_SPECIAL: 1598836685833742; POINT_POSITION: (310.593, 121.627, 0)
TIME_SPECIAL: 1598836702561166; POINT_POSITION: (310.116, 122.999, 0)
TIME_SPECIAL: 1598836719222599; POINT_POSITION: (309.07, 125.621, 0)
TIME_SPECIAL: 1598836735901383; POINT_POSITION: (308.802, 127.308, 0)
TIME_SPECIAL: 1598836752566513; POINT_POSITION: (309.937, 127.355, 0)
TIME_SPECIAL: 1598836769202916; POINT_POSITION: (310.311, 127.303, 0)
TIME_SPECIAL: 1598836785940863; POINT_POSITION: (310.244, 127.306, 0)
TIME_SPECIAL: 1598836802660607; POINT_POSITION: (310.082, 127.399, 0)
TIME_SPECIAL: 1598836819273969; POINT_POSITION: (309.873, 127.454, 0)
TIME_SPECIAL: 1598836835965553; POINT_POSITION: (309.57, 127.568, 0)
TIME_SPECIAL: 1598836852605084; POINT_POSITION: (309.257, 127.648, 0)
TIME_SPECIAL: 1598836869284152; POINT_POSITION: (308.954, 127.937, 0)
TIME_SPECIAL: 1598836885979149; POINT_POSITION: (308.68, 128.128, 0)
TIME_SPECIAL: 1598836902677559; POINT_POSITION: (308.393, 128.271, 0)
TIME_SPECIAL: 1598836919305713; POINT_POSITION: (308.02, 128.065, 0)
TIME_SPECIAL: 1598836935948941; POINT_POSITION: (307.8, 127.956, 0)
TIME_SPECIAL: 1598836952668116; POINT_POSITION: (307.026, 127.227, 0)
TIME_SPECIAL: 1598836969345193; POINT_POSITION: (306.638, 127.263, 0)
TIME_SPECIAL: 1598836986000084; POINT_POSITION: (305.97, 127.159, 0)
TIME_SPECIAL: 1598837002669765; POINT_POSITION: (305.505, 126.89, 0)
TIME_SPECIAL: 1598837019359927; POINT_POSITION: (304.772, 126.495, 0)
TIME_SPECIAL: 1598837036044115; POINT_POSITION: (304.507, 126.105, 0)
TIME_SPECIAL: 1598837052667433; POINT_POSITION: (303.904, 125.755, 0)
TIME_SPECIAL: 1598837069402821; POINT_POSITION: (303.048, 125.367, 0)
TIME_SPECIAL: 1598837086085018; POINT_POSITION: (302.148, 125.186, 0)
TIME_SPECIAL: 1598837102761526; POINT_POSITION: (301.482, 125.138, 0)
TIME_SPECIAL: 1598837119397928; POINT_POSITION: (301.117, 125.159, 0)
TIME_SPECIAL: 1598837136087521; POINT_POSITION: (300.962, 125.177, 0)
TIME_SPECIAL: 1598837152778820; POINT_POSITION: (300.779, 125.224, 0)
TIME_SPECIAL: 1598837169395596; POINT_POSITION: (300.658, 125.292, 0)
TIME_SPECIAL: 1598837186053331; POINT_POSITION: (300.513, 125.492, 0)
TIME_SPECIAL: 1598837202789572; POINT_POSITION: (300.33, 125.902, 0)
TIME_SPECIAL: 1598837219470063; POINT_POSITION: (300.498, 126.825, 0)
TIME_SPECIAL: 1598837236157095; POINT_POSITION: (300.966, 127.442, 0)
TIME_SPECIAL: 1598837252816253; POINT_POSITION: (301.867, 128.488, 0)
TIME_SPECIAL: 1598837269462041; POINT_POSITION: (303.37, 130.027, 0)
TIME_SPECIAL: 1598837286116932; POINT_POSITION: (305.012, 131.293, 0)
TIME_SPECIAL: 1598837302834685; POINT_POSITION: (305.883, 131.827, 0)
