PRACTICE_WORD_COUNT: 16
TIME_EXPERIMENT_START: 154488067746712
TIME_WORD_START: 154488068448715; WORD_VALUE: shirr
TIME_SPECIAL: 154489516982899; POINT_POSITION: (-377.059, 265.13, 0); TOOL_DIRECTION: (-0.159937, -0.153479, -0.975123)
TIME_SPECIAL: 154489533662015; POINT_POSITION: (-371.027, 261.14, 0); TOOL_DIRECTION: (-0.156502, -0.163487, -0.974053)
TIME_SPECIAL: 154489550323780; POINT_POSITION: (-364.458, 258.089, 0); TOOL_DIRECTION: (-0.153485, -0.169887, -0.973437)
TIME_SPECIAL: 154489567011998; POINT_POSITION: (-357.402, 253.98, 0); TOOL_DIRECTION: (-0.15067, -0.177978, -0.972431)
TIME_SPECIAL: 154489583663807; POINT_POSITION: (-348.792, 247.382, 0); TOOL_DIRECTION: (-0.1469, -0.192311, -0.970277)
TIME_SPECIAL: 154489600319599; POINT_POSITION: (-345.023, 243.007, 0); TOOL_DIRECTION: (-0.145997, -0.19994, -0.96887)
TIME_SPECIAL: 154489617028581; POINT_POSITION: (-340.978, 239.441, 0); TOOL_DIRECTION: (-0.144084, -0.206508, -0.967778)
TIME_SPECIAL: 154489633656781; POINT_POSITION: (-338.476, 236.837, 0); TOOL_DIRECTION: (-0.14357, -0.209864, -0.967132)
TIME_SPECIAL: 154489650369746; POINT_POSITION: (-333.3, 232.28, 0); TOOL_DIRECTION: (-0.141653, -0.21696, -0.965848)
TIME_SPECIAL: 154489667059955; POINT_POSITION: (-327.117, 227.365, 0); TOOL_DIRECTION: (-0.140297, -0.221306, -0.96506)
TIME_SPECIAL: 154489683755284; POINT_POSITION: (-326.314, 223.428, 0); TOOL_DIRECTION: (-0.141292, -0.22527, -0.963997)
TIME_SPECIAL: 154489700400835; POINT_POSITION: (-326.575, 221.584, 0); TOOL_DIRECTION: (-0.141907, -0.227891, -0.96329)
TIME_SPECIAL: 154489717113515; POINT_POSITION: (-326.7, 219.813, 0); TOOL_DIRECTION: (-0.142104, -0.228917, -0.963018)
TIME_SPECIAL: 154489733705876; POINT_POSITION: (-325.133, 218.174, 0); TOOL_DIRECTION: (-0.14116, -0.227917, -0.963394)
TIME_SPECIAL: 154489750388690; POINT_POSITION: (-321.456, 214.233, 0); TOOL_DIRECTION: (-0.137858, -0.232325, -0.962819)
TIME_SPECIAL: 154489767107058; POINT_POSITION: (-319.042, 210.206, 0); TOOL_DIRECTION: (-0.134571, -0.236125, -0.962359)
TIME_SPECIAL: 154489783756877; POINT_POSITION: (-317.746, 206.986, 0); TOOL_DIRECTION: (-0.132266, -0.238013, -0.962214)
TIME_SPECIAL: 154489800454481; POINT_POSITION: (-314.125, 208.231, 0); TOOL_DIRECTION: (-0.129001, -0.231622, -0.964215)
TIME_SPECIAL: 154489817113117; POINT_POSITION: (-305.221, 208.793, 0); TOOL_DIRECTION: (-0.121964, -0.228341, -0.965912)
