PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 1940206592023
TIME_WORD_START: 1940208058030; WORD_VALUE: pens
TIME_SPECIAL: 1941316317814; POINT_POSITION: (740.312, 226.257, 104.296); TOOL_DIRECTION: (0.0098528, 0.13683, -0.990546)
TIME_SPECIAL: 1941332762745; POINT_POSITION: (741.831, 226.751, 99.8309); TOOL_DIRECTION: (0.0116054, 0.135484, -0.990712)
TIME_SPECIAL: 1941349422998; POINT_POSITION: (744.438, 228.48, 90.7666); TOOL_DIRECTION: (0.0142643, 0.134385, -0.990827)
TIME_SPECIAL: 1941366079268; POINT_POSITION: (745.398, 227.024, 81.8391); TOOL_DIRECTION: (0.0144755, 0.126906, -0.991809)
TIME_SPECIAL: 1941382708801; POINT_POSITION: (745.398, 227.024, 81.8391); TOOL_DIRECTION: (0.0144755, 0.126906, -0.991809)
TIME_SPECIAL: 1941399426795; POINT_POSITION: (748.375, 228.862, 71.97); TOOL_DIRECTION: (0.0172789, 0.12581, -0.991904)
TIME_SPECIAL: 1941416077092; POINT_POSITION: (750.599, 229.244, 62.743); TOOL_DIRECTION: (0.018878, 0.122504, -0.992288)
TIME_SPECIAL: 1941432787691; POINT_POSITION: (751.8, 228.436, 57.8525); TOOL_DIRECTION: (0.0200544, 0.118865, -0.992708)
TIME_SPECIAL: 1941449461312; POINT_POSITION: (754.338, 228.421, 49.3262); TOOL_DIRECTION: (0.0224512, 0.11509, -0.993101)
TIME_SPECIAL: 1941466144035; POINT_POSITION: (755.92, 228.497, 41.6684); TOOL_DIRECTION: (0.0232512, 0.111688, -0.993471)
TIME_PRESSED: 1941466223110; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 1941482871131; POINT_POSITION: (756.733, 228.466, 33.9011); TOOL_DIRECTION: (0.0229956, 0.108004, -0.993884)
TIME_SPECIAL: 1941499543899; POINT_POSITION: (758.001, 229.184, 27.06); TOOL_DIRECTION: (0.0239276, 0.106173, -0.99406)
