PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 2879421758508
TIME_WORD_START: 2879422397646; WORD_VALUE: hipped
TIME_SPECIAL: 2880784336882; POINT_POSITION: (548.651, 184.364, 0); TOOL_DIRECTION: (-0.00977383, -0.198419, -0.980069)
TIME_SPECIAL: 2880801008512; POINT_POSITION: (548.477, 184.29, 0); TOOL_DIRECTION: (-0.0103873, -0.198799, -0.979985)
TIME_SPECIAL: 2880817692089; POINT_POSITION: (548.223, 184.411, 0); TOOL_DIRECTION: (-0.0127096, -0.195793, -0.980563)
TIME_SPECIAL: 2880834373390; POINT_POSITION: (547.761, 184.445, 0); TOOL_DIRECTION: (-0.0146166, -0.19861, -0.97997)
TIME_SPECIAL: 2880850996665; POINT_POSITION: (547.482, 184.455, 0); TOOL_DIRECTION: (-0.015324, -0.197759, -0.980131)
TIME_SPECIAL: 2880867710961; POINT_POSITION: (546.815, 184.669, 0); TOOL_DIRECTION: (-0.0171307, -0.187751, -0.982067)
TIME_SPECIAL: 2880884420422; POINT_POSITION: (546.107, 184.837, 0); TOOL_DIRECTION: (-0.016485, -0.190761, -0.981498)
TIME_SPECIAL: 2880901036871; POINT_POSITION: (545.123, 185.001, 0); TOOL_DIRECTION: (-0.018971, -0.183536, -0.98283)
TIME_SPECIAL: 2880917763682; POINT_POSITION: (543.817, 185.176, 0); TOOL_DIRECTION: (-0.020885, -0.186938, -0.98215)
TIME_SPECIAL: 2880934434744; POINT_POSITION: (542.567, 185.297, 0); TOOL_DIRECTION: (-0.0210164, -0.190253, -0.98151)
TIME_SPECIAL: 2880951117751; POINT_POSITION: (541.412, 185.302, 0); TOOL_DIRECTION: (-0.0228055, -0.194368, -0.980663)
TIME_SPECIAL: 2880967780564; POINT_POSITION: (540.932, 185.302, 0); TOOL_DIRECTION: (-0.0231888, -0.193307, -0.980864)
TIME_SPECIAL: 2880984435981; POINT_POSITION: (540.087, 185.322, 0); TOOL_DIRECTION: (-0.023924, -0.192135, -0.981077)
TIME_SPECIAL: 2881001110171; POINT_POSITION: (539.518, 185.252, 0); TOOL_DIRECTION: (-0.0243576, -0.196197, -0.980262)
TIME_SPECIAL: 2881017787774; POINT_POSITION: (539.062, 185.169, 0); TOOL_DIRECTION: (-0.0246457, -0.196578, -0.980178)
TIME_SPECIAL: 2881034435796; POINT_POSITION: (538.771, 185.168, 0); TOOL_DIRECTION: (-0.0242526, -0.193092, -0.980881)
TIME_SPECIAL: 2881051140990; POINT_POSITION: (538.592, 185.181, 0); TOOL_DIRECTION: (-0.0243944, -0.192918, -0.980912)
TIME_SPECIAL: 2881067791287; POINT_POSITION: (538.544, 185.182, 0); TOOL_DIRECTION: (-0.024082, -0.193343, -0.980836)
TIME_SPECIAL: 2881084456375; POINT_POSITION: (538.455, 185.168, 0); TOOL_DIRECTION: (-0.0242277, -0.194328, -0.980637)
TIME_SPECIAL: 2881101151330; POINT_POSITION: (538.339, 185.145, 0); TOOL_DIRECTION: (-0.0246815, -0.194838, -0.980525)
TIME_SPECIAL: 2881117772614; POINT_POSITION: (538.313, 185.143, 0); TOOL_DIRECTION: (-0.0230186, -0.190954, -0.981329)
TIME_SPECIAL: 2881134499994; POINT_POSITION: (538.731, 185.172, 0); TOOL_DIRECTION: (-0.0197531, -0.194703, -0.980663)
TIME_SPECIAL: 2881151186984; POINT_POSITION: (540.206, 185.149, 0); TOOL_DIRECTION: (-0.0168816, -0.200395, -0.97957)
TIME_SPECIAL: 2881167867716; POINT_POSITION: (542.049, 185.258, 0); TOOL_DIRECTION: (-0.014728, -0.193909, -0.980909)
TIME_SPECIAL: 2881184510903; POINT_POSITION: (549.283, 185.851, 0); TOOL_DIRECTION: (-0.0111996, -0.187149, -0.982268)
TIME_SPECIAL: 2881201176844; POINT_POSITION: (560.854, 186.702, 0); TOOL_DIRECTION: (-0.0074438, -0.189312, -0.981889)
TIME_SPECIAL: 2881217859852; POINT_POSITION: (577.047, 188.358, 0); TOOL_DIRECTION: (-0.00188447, -0.180651, -0.983545)
TIME_SPECIAL: 2881234540584; POINT_POSITION: (587.415, 189.423, 0); TOOL_DIRECTION: (0.000667636, -0.179375, -0.983781)
TIME_PRESSED: 2881234575855; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 2881251266542; POINT_POSITION: (596.691, 190.59, 0); TOOL_DIRECTION: (0.00268998, -0.174966, -0.984571)
TIME_SPECIAL: 2881267865924; POINT_POSITION: (605.661, 192.174, 0); TOOL_DIRECTION: (0.00526659, -0.166436, -0.986038)
TIME_SPECIAL: 2881284559457; POINT_POSITION: (609.678, 192.791, 0); TOOL_DIRECTION: (0.00677238, -0.164605, -0.986336)
TIME_SPECIAL: 2881301283424; POINT_POSITION: (614.262, 193.407, 0); TOOL_DIRECTION: (0.00779694, -0.163899, -0.986446)
TIME_SPECIAL: 2881317939125; POINT_POSITION: (617.424, 193.899, 0); TOOL_DIRECTION: (0.00799852, -0.167011, -0.985923)
TIME_SPECIAL: 2881334582880; POINT_POSITION: (619.278, 194.726, 0); TOOL_DIRECTION: (0.00631868, -0.164622, -0.986337)
