PRACTICE_WORD_COUNT: 17
TIME_EXPERIMENT_START: 148730418101155
TIME_WORD_START: 148730418659515; WORD_VALUE: yippee
TIME_SPECIAL: 148731729782851; POINT_POSITION: (413.194, 213.157, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731746493824; POINT_POSITION: (413.468, 213.203, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731763179197; POINT_POSITION: (413.651, 213.225, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731779818776; POINT_POSITION: (413.776, 213.224, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731796453234; POINT_POSITION: (413.865, 213.22, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731813156812; POINT_POSITION: (413.989, 213.209, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731829829670; POINT_POSITION: (414.11, 213.2, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731846513906; POINT_POSITION: (414.162, 213.197, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731863159173; POINT_POSITION: (414.355, 213.213, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731879854217; POINT_POSITION: (414.517, 213.242, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731896550684; POINT_POSITION: (414.85, 213.35, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731913190547; POINT_POSITION: (415.137, 213.458, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731929912044; POINT_POSITION: (416.008, 213.837, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731946556743; POINT_POSITION: (417.095, 214.293, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731963206561; POINT_POSITION: (418.198, 214.714, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731979895916; POINT_POSITION: (419.199, 215.058, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148731996598356; POINT_POSITION: (420.126, 215.345, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732013252441; POINT_POSITION: (421.193, 215.619, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732029919895; POINT_POSITION: (422.409, 215.916, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732046602424; POINT_POSITION: (423.789, 216.263, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732063308562; POINT_POSITION: (425.367, 216.651, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732079962931; POINT_POSITION: (427.189, 217.094, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732096633513; POINT_POSITION: (429.241, 217.59, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732113294709; POINT_POSITION: (431.442, 218.104, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732130010803; POINT_POSITION: (433.795, 218.618, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732146663465; POINT_POSITION: (435.016, 218.865, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732163314421; POINT_POSITION: (437.367, 219.325, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732179956844; POINT_POSITION: (439.595, 219.768, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732196652173; POINT_POSITION: (441.979, 220.26, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732213333849; POINT_POSITION: (444.538, 220.803, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732230049942; POINT_POSITION: (447.052, 221.345, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732246646001; POINT_POSITION: (449.302, 221.837, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732263321419; POINT_POSITION: (451.215, 222.259, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732279994277; POINT_POSITION: (452.772, 222.606, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732296725730; POINT_POSITION: (454.019, 222.885, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732313345681; POINT_POSITION: (455.017, 223.109, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732330025651; POINT_POSITION: (455.437, 223.204, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732346732357; POINT_POSITION: (456.147, 223.365, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732363421713; POINT_POSITION: (456.624, 223.475, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732380083193; POINT_POSITION: (456.897, 223.538, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732396838539; POINT_POSITION: (457.048, 223.575, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732413450811; POINT_POSITION: (457.132, 223.596, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732430108594; POINT_POSITION: (457.181, 223.608, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732446779176; POINT_POSITION: (457.211, 223.616, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732463488158; POINT_POSITION: (457.228, 223.621, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732480112092; POINT_POSITION: (457.24, 223.623, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732496806853; POINT_POSITION: (457.248, 223.625, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732513433346; POINT_POSITION: (457.253, 223.627, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732530120142; POINT_POSITION: (457.256, 223.628, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732546854155; POINT_POSITION: (457.259, 223.628, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732563517911; POINT_POSITION: (457.262, 223.629, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
