PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 37783038453503
TIME_WORD_START: 37783039811955; WORD_VALUE: ginned
TIME_SPECIAL: 37790309728114; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790341346976; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790372347698; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790403523897; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790434746117; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790465965356; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790497264388; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790528522035; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790559776370; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790591043617; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790622269148; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790653503949; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790684749345; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790716232792; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790747283509; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790778469640; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790809771652; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790841069690; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790872268403; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37790903506515; POINT_POSITION: (428, 240, 0)
TIME_PRESSED: 37790903593922; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 37790934824750; POINT_POSITION: (428, 241, 0)
TIME_SPECIAL: 37790966052929; POINT_POSITION: (489, 243, 0)
TIME_SPECIAL: 37790997204958; POINT_POSITION: (525, 248, 0)
TIME_SPECIAL: 37791028643047; POINT_POSITION: (561, 253, 0)
TIME_PRESSED: 37791028724826; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 37791059809975; POINT_POSITION: (585, 257, 0)
