PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 116648510996247
TIME_WORD_START: 116648511669521; WORD_VALUE: sue
TIME_SPECIAL: 116651406977194; POINT_POSITION: (549.123, 246.062, 0)
TIME_SPECIAL: 116651423616487; POINT_POSITION: (535.194, 244.276, 0)
TIME_SPECIAL: 116651440304705; POINT_POSITION: (526.589, 243.121, 0)
TIME_SPECIAL: 116651456968461; POINT_POSITION: (506.321, 240.511, 0)
TIME_SPECIAL: 116651473651844; POINT_POSITION: (482.17, 237.635, 0)
TIME_SPECIAL: 116651490333519; POINT_POSITION: (455.341, 234.598, 0)
TIME_SPECIAL: 116651507017471; POINT_POSITION: (426.399, 231.526, 0)
TIME_SPECIAL: 116651523654773; POINT_POSITION: (396.175, 228.836, 0)
TIME_SPECIAL: 116651540348964; POINT_POSITION: (365.653, 226.685, 0)
TIME_SPECIAL: 116651557018978; POINT_POSITION: (339.09, 224.967, 0)
TIME_SPECIAL: 116651573713454; POINT_POSITION: (316.025, 223.668, 0)
TIME_PRESSED: 116651573749009; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 116651590377494; POINT_POSITION: (296.266, 222.718, 0)
TIME_SPECIAL: 116651607039828; POINT_POSITION: (280.189, 222.141, 0)
TIME_SPECIAL: 116651623749094; POINT_POSITION: (267.826, 221.815, 0)
TIME_SPECIAL: 116651640402610; POINT_POSITION: (258.543, 221.663, 0)
TIME_SPECIAL: 116651657083433; POINT_POSITION: (254.706, 221.649, 0)
TIME_SPECIAL: 116651673752877; POINT_POSITION: (248.463, 221.703, 0)
TIME_SPECIAL: 116651690433984; POINT_POSITION: (243.784, 221.801, 0)
TIME_SPECIAL: 116651707121349; POINT_POSITION: (240.184, 221.916, 0)
TIME_SPECIAL: 116651723765478; POINT_POSITION: (237.397, 222.034, 0)
TIME_SPECIAL: 116651740444025; POINT_POSITION: (235.288, 222.149, 0)
TIME_SPECIAL: 116651757128830; POINT_POSITION: (233.68, 222.26, 0)
TIME_SPECIAL: 116651773773528; POINT_POSITION: (232.439, 222.363, 0)
TIME_SPECIAL: 116651790473977; POINT_POSITION: (231.475, 222.456, 0)
TIME_SPECIAL: 116651807159919; POINT_POSITION: (230.704, 222.537, 0)
TIME_SPECIAL: 116651823821399; POINT_POSITION: (230.06, 222.609, 0)
TIME_SPECIAL: 116651840482880; POINT_POSITION: (229.484, 222.674, 0)
TIME_SPECIAL: 116651857206369; POINT_POSITION: (229.213, 222.706, 0)
TIME_SPECIAL: 116651873846800; POINT_POSITION: (228.707, 222.766, 0)
TIME_SPECIAL: 116651890481258; POINT_POSITION: (228.253, 222.822, 0)
TIME_SPECIAL: 116651907189672; POINT_POSITION: (227.853, 222.881, 0)
TIME_SPECIAL: 116651923871632; POINT_POSITION: (227.537, 222.938, 0)
TIME_SPECIAL: 116651940542783; POINT_POSITION: (227.385, 223.007, 0)
TIME_SPECIAL: 116651957193455; POINT_POSITION: (227.355, 223.086, 0)
TIME_SPECIAL: 116651973865460; POINT_POSITION: (227.399, 223.157, 0)
TIME_SPECIAL: 116651990573588; POINT_POSITION: (227.506, 223.159, 0)
TIME_SPECIAL: 116652007233362; POINT_POSITION: (227.722, 223.093, 0)
TIME_SPECIAL: 116652023897971; POINT_POSITION: (227.956, 222.996, 0)
TIME_SPECIAL: 116652040591025; POINT_POSITION: (227.956, 222.996, 412.511)
TIME_PRESSED: 116652040627718; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 116652040657300; WORD_VALUE: sue
TIME_WORD_START: 116652040706508; WORD_VALUE: rocker
TIME_SPECIAL: 116652057248238; POINT_POSITION: (228.038, 222.971, 412.396)
TIME_SPECIAL: 116652073938732; POINT_POSITION: (228.098, 222.953, 412.319)
TIME_SPECIAL: 116652090605901; POINT_POSITION: (228.267, 222.901, 412.115)
TIME_SPECIAL: 116652107267097; POINT_POSITION: (228.712, 222.762, 411.622)
TIME_SPECIAL: 116652123970675; POINT_POSITION: (229.72, 222.472, 410.615)
TIME_SPECIAL: 116652140603142; POINT_POSITION: (231.178, 222.116, 409.33)
TIME_SPECIAL: 116652157275715; POINT_POSITION: (233.236, 221.708, 407.688)
TIME_SPECIAL: 116652173944022; POINT_POSITION: (236.442, 221.231, 405.281)
TIME_SPECIAL: 116652190627405; POINT_POSITION: (241.261, 220.747, 401.833)
TIME_SPECIAL: 116652207319320; POINT_POSITION: (247.876, 220.41, 397.262)
TIME_SPECIAL: 116652223983645; POINT_POSITION: (256.41, 220.5, 391.461)
TIME_SPECIAL: 116652240674139; POINT_POSITION: (266.275, 221.183, 384.697)
TIME_SPECIAL: 116652257358659; POINT_POSITION: (276.652, 222.77, 377.314)
TIME_SPECIAL: 116652274015873; POINT_POSITION: (286.448, 225.231, 369.998)
TIME_SPECIAL: 116652290644642; POINT_POSITION: (290.789, 226.664, 366.56)
TIME_SPECIAL: 116652307357037; POINT_POSITION: (297.909, 230.002, 360.28)
TIME_SPECIAL: 116652324004296; POINT_POSITION: (302.973, 233.575, 355.082)
TIME_SPECIAL: 116652340725509; POINT_POSITION: (306.365, 236.898, 351.053)
TIME_SPECIAL: 116652357381869; POINT_POSITION: (308.411, 239.73, 348.14)
TIME_SPECIAL: 116652374078052; POINT_POSITION: (309.516, 242.163, 346.065)
TIME_SPECIAL: 116652390713363; POINT_POSITION: (310.061, 244.229, 344.54)
TIME_SPECIAL: 116652407420639; POINT_POSITION: (310.362, 245.906, 343.418)
TIME_SPECIAL: 116652424089230; POINT_POSITION: (310.576, 247.121, 342.618)
TIME_SPECIAL: 116652440764648; POINT_POSITION: (310.733, 247.814, 342.074)
TIME_SPECIAL: 116652457403373; POINT_POSITION: (310.812, 247.976, 341.668)
TIME_SPECIAL: 116652474114915; POINT_POSITION: (310.799, 247.851, 341.428)
TIME_SPECIAL: 116652490787204; POINT_POSITION: (310.799, 247.851, 341.428)
TIME_SPECIAL: 116652507440151; POINT_POSITION: (309.523, 244.76, 339.651)
TIME_SPECIAL: 116652524131498; POINT_POSITION: (307.89, 241.473, 338.323)
TIME_SPECIAL: 116652540804925; POINT_POSITION: (304.973, 235.344, 336.393)
TIME_SPECIAL: 116652557484325; POINT_POSITION: (300.421, 226.513, 333.892)
TIME_SPECIAL: 116652574160312; POINT_POSITION: (294.286, 216.926, 331.215)
TIME_SPECIAL: 116652590844263; POINT_POSITION: (287.903, 208.459, 328.815)
TIME_SPECIAL: 116652607508019; POINT_POSITION: (282.124, 201.388, 326.954)
TIME_SPECIAL: 116652624164949; POINT_POSITION: (277.037, 196.23, 325.603)
TIME_SPECIAL: 116652640847478; POINT_POSITION: (273.049, 192.795, 324.712)
TIME_SPECIAL: 116652657534842; POINT_POSITION: (269.981, 190.623, 324.151)
TIME_SPECIAL: 116652674204571; POINT_POSITION: (267.783, 189.378, 323.858)
TIME_SPECIAL: 116652690858941; POINT_POSITION: (266.079, 188.905, 323.709)
TIME_SPECIAL: 116652707538910; POINT_POSITION: (265.43, 188.974, 323.714)
TIME_SPECIAL: 116652724212906; POINT_POSITION: (264.811, 190.01, 324.17)
TIME_SPECIAL: 116652740887755; POINT_POSITION: (264.839, 192.147, 325.015)
TIME_SPECIAL: 116652757550657; POINT_POSITION: (265.934, 195.253, 326.186)
TIME_SPECIAL: 116652774259639; POINT_POSITION: (268.638, 199.69, 327.797)
TIME_SPECIAL: 116652790916000; POINT_POSITION: (273.731, 206.337, 329.776)
TIME_SPECIAL: 116652807601658; POINT_POSITION: (282.057, 215.877, 331.651)
TIME_SPECIAL: 116652824270249; POINT_POSITION: (293.884, 225.836, 333.384)
TIME_SPECIAL: 116652840915801; POINT_POSITION: (308.127, 235.475, 335.253)
TIME_SPECIAL: 116652857594916; POINT_POSITION: (322.109, 243.098, 336.687)
TIME_SPECIAL: 116652874282281; POINT_POSITION: (333.68, 248.384, 337.54)
TIME_SPECIAL: 116652890928686; POINT_POSITION: (344.179, 252.403, 338.048)
TIME_SPECIAL: 116652907639659; POINT_POSITION: (353.73, 256.56, 338.596)
TIME_SPECIAL: 116652924297726; POINT_POSITION: (361.657, 259.691, 339.101)
TIME_SPECIAL: 116652940971722; POINT_POSITION: (365.135, 260.984, 339.331)
TIME_SPECIAL: 116652957673024; POINT_POSITION: (370.9, 263.241, 339.662)
TIME_SPECIAL: 116652974343038; POINT_POSITION: (375.114, 264.967, 339.847)
TIME_SPECIAL: 116652991005940; POINT_POSITION: (378.057, 266.231, 339.9)
TIME_SPECIAL: 116653007644665; POINT_POSITION: (380.181, 267.188, 339.886)
TIME_SPECIAL: 116653024351656; POINT_POSITION: (381.687, 267.844, 339.879)
TIME_SPECIAL: 116653041073154; POINT_POSITION: (382.544, 268.251, 339.86)
TIME_SPECIAL: 116653057689408; POINT_POSITION: (382.942, 268.47, 339.805)
TIME_SPECIAL: 116653074381893; POINT_POSITION: (382.914, 268.602, 339.72)
TIME_SPECIAL: 116653091024315; POINT_POSITION: (382.47, 268.799, 339.598)
TIME_SPECIAL: 116653107713955; POINT_POSITION: (381.588, 269.124, 339.437)
TIME_SPECIAL: 116653124383400; POINT_POSITION: (380.29, 269.514, 339.232)
TIME_SPECIAL: 116653141073040; POINT_POSITION: (378.718, 269.822, 339.128)
TIME_SPECIAL: 116653157840049; POINT_POSITION: (376.622, 270.058, 339.341)
TIME_SPECIAL: 116653174417619; POINT_POSITION: (375.558, 270.147, 339.522)
TIME_SPECIAL: 116653191095597; POINT_POSITION: (373.83, 270.26, 339.906)
TIME_SPECIAL: 116653207758215; POINT_POSITION: (372.63, 270.317, 340.264)
TIME_SPECIAL: 116653224430219; POINT_POSITION: (371.841, 270.344, 340.525)
TIME_SPECIAL: 116653241112464; POINT_POSITION: (371.316, 270.354, 340.706)
TIME_SPECIAL: 116653257793855; POINT_POSITION: (370.95, 270.359, 340.835)
TIME_SPECIAL: 116653274428314; POINT_POSITION: (370.693, 270.358, 340.927)
TIME_SPECIAL: 116653291137296; POINT_POSITION: (370.467, 270.354, 341.007)
TIME_SPECIAL: 116653307822100; POINT_POSITION: (370.25, 270.346, 341.084)
TIME_SPECIAL: 116653324479314; POINT_POSITION: (370.005, 270.333, 341.168)
TIME_SPECIAL: 116653341180901; POINT_POSITION: (369.691, 270.312, 341.271)
TIME_SPECIAL: 116653357835554; POINT_POSITION: (369.236, 270.271, 341.408)
TIME_SPECIAL: 116653374557052; POINT_POSITION: (368.916, 270.235, 341.498)
TIME_SPECIAL: 116653391199475; POINT_POSITION: (368.003, 270.117, 341.726)
TIME_SPECIAL: 116653407842182; POINT_POSITION: (366.709, 269.922, 342.021)
TIME_SPECIAL: 116653424513333; POINT_POSITION: (365.03, 269.63, 342.368)
