PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116897889399525
TIME_WORD_START: 116897889906401; WORD_VALUE: balls
TIME_SPECIAL: 116898868330330; POINT_POSITION: (433.483, 127.095, 217.279); TOOL_DIRECTION: (-0.146625, -0.00944755, -0.989147)
TIME_SPECIAL: 116898885011721; POINT_POSITION: (445.966, 129.288, 217.279); TOOL_DIRECTION: (-0.140105, -0.00795493, -0.990105)
TIME_SPECIAL: 116898901670357; POINT_POSITION: (457.761, 131.409, 217.279); TOOL_DIRECTION: (-0.133691, 5.7841e-005, -0.991023)
TIME_SPECIAL: 116898918389295; POINT_POSITION: (467.974, 132.69, 217.279); TOOL_DIRECTION: (-0.131822, 0.0028011, -0.991269)
TIME_SPECIAL: 116898935016358; POINT_POSITION: (479.074, 134.218, 217.279); TOOL_DIRECTION: (-0.123734, 0.00725221, -0.992289)
TIME_SPECIAL: 116898951742406; POINT_POSITION: (488.637, 134.676, 217.279); TOOL_DIRECTION: (-0.11632, 0.00257969, -0.993208)
TIME_SPECIAL: 116898968413273; POINT_POSITION: (497.295, 135.162, 217.279); TOOL_DIRECTION: (-0.110883, -0.00109208, -0.993833)
TIME_SPECIAL: 116898985070487; POINT_POSITION: (504.008, 135.292, 217.279); TOOL_DIRECTION: (-0.110772, -0.00293666, -0.993842)
TIME_SPECIAL: 116899001753301; POINT_POSITION: (506.704, 135.113, 217.279); TOOL_DIRECTION: (-0.110781, -0.00502101, -0.993832)
TIME_SPECIAL: 116899018403972; POINT_POSITION: (510.951, 135.003, 217.279); TOOL_DIRECTION: (-0.112342, -0.00282958, -0.993666)
TIME_SPECIAL: 116899035090199; POINT_POSITION: (514.713, 133.415, 217.279); TOOL_DIRECTION: (-0.106876, -0.00758269, -0.994243)
TIME_SPECIAL: 116899051740302; POINT_POSITION: (516.292, 133.253, 217.279); TOOL_DIRECTION: (-0.115969, 0.0110537, -0.993191)
TIME_SPECIAL: 116899068426244; POINT_POSITION: (518.546, 131.533, 217.279); TOOL_DIRECTION: (-0.110574, 0.005554, -0.993852)
TIME_SPECIAL: 116899085133235; POINT_POSITION: (520.165, 130.042, 217.279); TOOL_DIRECTION: (-0.102873, -0.00561179, -0.994679)
TIME_SPECIAL: 116899101763142; POINT_POSITION: (520.01, 128.58, 217.279); TOOL_DIRECTION: (-0.106512, -0.0138729, -0.994215)
TIME_SPECIAL: 116899118442542; POINT_POSITION: (520.529, 127.552, 217.279); TOOL_DIRECTION: (-0.109283, -0.00922686, -0.993968)
TIME_SPECIAL: 116899135121943; POINT_POSITION: (521.593, 125.823, 217.279); TOOL_DIRECTION: (-0.105114, -0.0191546, -0.994276)
TIME_SPECIAL: 116899151782854; POINT_POSITION: (522.049, 123.957, 217.279); TOOL_DIRECTION: (-0.110113, -0.0229332, -0.993654)
TIME_SPECIAL: 116899168458272; POINT_POSITION: (524.068, 122.051, 217.279); TOOL_DIRECTION: (-0.114598, -0.00520209, -0.993398)
TIME_SPECIAL: 116899185146490; POINT_POSITION: (528.059, 120.33, 217.279); TOOL_DIRECTION: (-0.0976316, -0.00546714, -0.995208)
TIME_SPECIAL: 116899201807970; POINT_POSITION: (530.281, 118.623, 217.279); TOOL_DIRECTION: (-0.0955042, -0.0126962, -0.995348)
TIME_SPECIAL: 116899218503584; POINT_POSITION: (530.382, 118.325, 217.279); TOOL_DIRECTION: (-0.0963136, -0.0125001, -0.995273)
TIME_SPECIAL: 116899235189242; POINT_POSITION: (530.556, 117.954, 217.279); TOOL_DIRECTION: (-0.099603, -0.00876984, -0.994989)
TIME_SPECIAL: 116899251860109; POINT_POSITION: (531.409, 117.127, 217.279); TOOL_DIRECTION: (-0.0983912, -0.0133574, -0.995058)
TIME_SPECIAL: 116899268523864; POINT_POSITION: (531.583, 116.152, 217.279); TOOL_DIRECTION: (-0.0991605, -0.0177847, -0.994913)
TIME_SPECIAL: 116899285214642; POINT_POSITION: (530.495, 115.721, 217.279); TOOL_DIRECTION: (-0.104166, -0.0113868, -0.994495)
TIME_SPECIAL: 116899301875269; POINT_POSITION: (529.055, 114.802, 217.279); TOOL_DIRECTION: (-0.108316, -0.0114877, -0.99405)
TIME_SPECIAL: 116899318578563; POINT_POSITION: (527.326, 114.236, 217.279); TOOL_DIRECTION: (-0.105035, -0.0119228, -0.994397)
TIME_SPECIAL: 116899335207048; POINT_POSITION: (525.442, 113.491, 217.279); TOOL_DIRECTION: (-0.107352, -0.0151277, -0.994106)
TIME_SPECIAL: 116899351885595; POINT_POSITION: (523.107, 112.915, 217.279); TOOL_DIRECTION: (-0.114493, -0.0150651, -0.99331)
TIME_SPECIAL: 116899368559590; POINT_POSITION: (521.592, 112.339, 217.279); TOOL_DIRECTION: (-0.110804, -0.0172448, -0.993693)
TIME_SPECIAL: 116899385226760; POINT_POSITION: (520.262, 112.443, 217.279); TOOL_DIRECTION: (-0.114005, -0.00660131, -0.993458)
TIME_SPECIAL: 116899401938017; POINT_POSITION: (519.366, 113.24, 217.279); TOOL_DIRECTION: (-0.116965, 0.00374421, -0.993129)
TIME_SPECIAL: 116899418572476; POINT_POSITION: (519.366, 113.24, 217.279); TOOL_DIRECTION: (-0.116965, 0.00374421, -0.993129)
TIME_SPECIAL: 116899435298524; POINT_POSITION: (517.964, 114.618, 217.279); TOOL_DIRECTION: (-0.119027, 0.0118872, -0.99282)
TIME_SPECIAL: 116899451920183; POINT_POSITION: (517.178, 115.422, 217.279); TOOL_DIRECTION: (-0.120764, 0.0180791, -0.992517)
TIME_SPECIAL: 116899468635992; POINT_POSITION: (517.627, 115.597, 217.279); TOOL_DIRECTION: (-0.112284, 0.00712598, -0.993651)
TIME_SPECIAL: 116899485313401; POINT_POSITION: (518.226, 116.897, 217.279); TOOL_DIRECTION: (-0.110842, 0.0202533, -0.993632)
TIME_SPECIAL: 116899501967201; POINT_POSITION: (518.516, 118.335, 217.279); TOOL_DIRECTION: (-0.111019, 0.0196303, -0.993624)
TIME_SPECIAL: 116899518646886; POINT_POSITION: (519.114, 119.125, 217.279); TOOL_DIRECTION: (-0.108429, 0.0115495, -0.994037)
TIME_SPECIAL: 116899535297557; POINT_POSITION: (520.583, 119.46, 217.279); TOOL_DIRECTION: (-0.10011, 0.00430405, -0.994967)
TIME_SPECIAL: 116899551986913; POINT_POSITION: (522.422, 119.533, 217.279); TOOL_DIRECTION: (-0.0956633, -0.00524127, -0.9954)
TIME_SPECIAL: 116899568665175; POINT_POSITION: (524.206, 120.585, 217.279); TOOL_DIRECTION: (-0.0925306, 0.00235913, -0.995707)
TIME_SPECIAL: 116899585327225; POINT_POSITION: (526.363, 122.161, 217.279); TOOL_DIRECTION: (-0.089928, 0.00656449, -0.995927)
TIME_SPECIAL: 116899602023691; POINT_POSITION: (527.912, 123.266, 217.279); TOOL_DIRECTION: (-0.0899668, 0.00587402, -0.995927)
TIME_SPECIAL: 116899618696834; POINT_POSITION: (529.378, 124.57, 217.279); TOOL_DIRECTION: (-0.089791, 0.0118446, -0.99589)
TIME_SPECIAL: 116899635383914; POINT_POSITION: (531.256, 125.74, 217.279); TOOL_DIRECTION: (-0.0898411, 0.0116048, -0.995889)
