PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221780778890400
TIME_WORD_START: 221780785372747; WORD_VALUE: the
TIME_SPECIAL: 221782267905254; POINT_POSITION: (485.728, 214.005, 0); TOOL_DIRECTION: (-0.0505896, 0.121096, -0.991351)
TIME_SPECIAL: 221782287045597; POINT_POSITION: (489.922, 212.426, 0); TOOL_DIRECTION: (-0.0475797, 0.12201, -0.991388)
TIME_SPECIAL: 221782307827595; POINT_POSITION: (494.724, 209.587, 0); TOOL_DIRECTION: (-0.0436192, 0.119806, -0.991839)
TIME_SPECIAL: 221782328456853; POINT_POSITION: (499.463, 204.91, 0); TOOL_DIRECTION: (-0.0395309, 0.111209, -0.993011)
TIME_SPECIAL: 221782346742337; POINT_POSITION: (500.833, 203.898, 0); TOOL_DIRECTION: (-0.0387356, 0.110374, -0.993135)
TIME_SPECIAL: 221782365282658; POINT_POSITION: (505.533, 200.665, 0); TOOL_DIRECTION: (-0.0363435, 0.106849, -0.993611)
TIME_SPECIAL: 221782383963971; POINT_POSITION: (508.229, 198.81, 0); TOOL_DIRECTION: (-0.0343184, 0.105715, -0.993804)
TIME_SPECIAL: 221782405189199; POINT_POSITION: (510.954, 195.846, 0); TOOL_DIRECTION: (-0.0331511, 0.101558, -0.994277)
TIME_SPECIAL: 221782423827566; POINT_POSITION: (514.583, 193.205, 0); TOOL_DIRECTION: (-0.0295956, 0.098632, -0.994684)
TIME_SPECIAL: 221782443407899; POINT_POSITION: (518.136, 191.049, 0); TOOL_DIRECTION: (-0.0263768, 0.0971213, -0.994923)
TIME_SPECIAL: 221782462881678; POINT_POSITION: (521.039, 188.246, 0); TOOL_DIRECTION: (-0.0234685, 0.0919388, -0.995488)
TIME_SPECIAL: 221782483568061; POINT_POSITION: (523.778, 186.073, 0); TOOL_DIRECTION: (-0.0212418, 0.088348, -0.995863)
TIME_SPECIAL: 221782503953826; POINT_POSITION: (525.705, 184.536, 0); TOOL_DIRECTION: (-0.019949, 0.0862497, -0.996074)
TIME_SPECIAL: 221782523047578; POINT_POSITION: (526.752, 183.616, 0); TOOL_DIRECTION: (-0.0194224, 0.0852596, -0.996169)
TIME_SPECIAL: 221782542763229; POINT_POSITION: (527.211, 183.016, 0); TOOL_DIRECTION: (-0.0193562, 0.0842085, -0.99626)
TIME_SPECIAL: 221782562360578; POINT_POSITION: (527.277, 182.581, 0); TOOL_DIRECTION: (-0.0195161, 0.0831723, -0.996344)
TIME_SPECIAL: 221782582701777; POINT_POSITION: (527.386, 182.32, 0); TOOL_DIRECTION: (-0.0193002, 0.0824307, -0.99641)
TIME_SPECIAL: 221782602014713; POINT_POSITION: (527.46, 182.185, 0); TOOL_DIRECTION: (-0.0188998, 0.0821911, -0.996437)
TIME_SPECIAL: 221782621521309; POINT_POSITION: (527.596, 182.112, 0); TOOL_DIRECTION: (-0.0178959, 0.0821698, -0.996458)
TIME_SPECIAL: 221782639434058; POINT_POSITION: (527.714, 182.078, 0); TOOL_DIRECTION: (-0.0163667, 0.0822701, -0.996476)
TIME_SPECIAL: 221782655575101; POINT_POSITION: (527.714, 182.078, 0); TOOL_DIRECTION: (-0.0163667, 0.0822701, -0.996476)
TIME_SPECIAL: 221782677869106; POINT_POSITION: (528.288, 182.182, 0); TOOL_DIRECTION: (-0.0143325, 0.0826488, -0.996476)
TIME_SPECIAL: 221782696360000; POINT_POSITION: (527.797, 182.352, 0); TOOL_DIRECTION: (-0.0132086, 0.0836742, -0.996406)
TIME_SPECIAL: 221782712925231; POINT_POSITION: (526.398, 183.087, 0); TOOL_DIRECTION: (-0.0124807, 0.087088, -0.996122)
TIME_SPECIAL: 221782729286269; POINT_POSITION: (526.398, 183.087, 0); TOOL_DIRECTION: (-0.0124807, 0.087088, -0.996122)
TIME_SPECIAL: 221782746576308; POINT_POSITION: (522.693, 185.351, 0); TOOL_DIRECTION: (-0.0131852, 0.0931097, -0.995569)
TIME_SPECIAL: 221782774358430; POINT_POSITION: (511.562, 192.184, 0); TOOL_DIRECTION: (-0.0161898, 0.108909, -0.99392)
TIME_SPECIAL: 221782796115210; POINT_POSITION: (503.959, 195.343, 0); TOOL_DIRECTION: (-0.0185345, 0.114999, -0.993193)
TIME_SPECIAL: 221782817423494; POINT_POSITION: (497.58, 198.779, 0); TOOL_DIRECTION: (-0.0202618, 0.121566, -0.992377)
TIME_SPECIAL: 221782838148771; POINT_POSITION: (490.088, 201.72, 0); TOOL_DIRECTION: (-0.0216162, 0.128079, -0.991528)
TIME_SPECIAL: 221782861054953; POINT_POSITION: (482.67, 205.36, 0); TOOL_DIRECTION: (-0.0243833, 0.13897, -0.989996)
TIME_SPECIAL: 221782881340241; POINT_POSITION: (471.089, 210.229, 0); TOOL_DIRECTION: (-0.0256515, 0.143916, -0.989257)
TIME_SPECIAL: 221782902485250; POINT_POSITION: (461.395, 213.225, 0); TOOL_DIRECTION: (-0.0273527, 0.148843, -0.988483)
TIME_SPECIAL: 221782923048469; POINT_POSITION: (453.683, 215.232, 0); TOOL_DIRECTION: (-0.0277901, 0.152387, -0.98793)
