PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222589801252875
TIME_WORD_START: 222589813891020; WORD_VALUE: the
TIME_PRESSED: 222592663979058; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 222592664266307; WORD_VALUE: the
TIME_WORD_START: 222592664584753; WORD_VALUE: brown
TIME_SPECIAL: 222592722246035; POINT_POSITION: (264.604, 264.923, 112.846); TOOL_DIRECTION: (-0.0227348, -0.175607, -0.984198)
TIME_SPECIAL: 222592766627826; POINT_POSITION: (262.932, 265.96, 169.004); TOOL_DIRECTION: (-0.0207626, -0.182906, -0.982911)
TIME_SPECIAL: 222592811961712; POINT_POSITION: (265.77, 264.22, 194.721); TOOL_DIRECTION: (-0.0132857, -0.192156, -0.981274)
TIME_SPECIAL: 222592858637443; POINT_POSITION: (276.812, 263.638, 211.056); TOOL_DIRECTION: (0.000168123, -0.187591, -0.982247)
TIME_SPECIAL: 222592903084057; POINT_POSITION: (287.234, 259.636, 217.279); TOOL_DIRECTION: (0.00837348, -0.19306, -0.981151)
TIME_SPECIAL: 222592946474859; POINT_POSITION: (302.587, 254.036, 217.279); TOOL_DIRECTION: (0.0168118, -0.199666, -0.97972)
TIME_SPECIAL: 222592983916082; POINT_POSITION: (316.486, 247.888, 217.279); TOOL_DIRECTION: (0.0214262, -0.211275, -0.977192)
TIME_SPECIAL: 222593027913389; POINT_POSITION: (334.519, 241.1, 217.279); TOOL_DIRECTION: (0.0286951, -0.220001, -0.975077)
TIME_SPECIAL: 222593068590519; POINT_POSITION: (355.663, 234.158, 217.279); TOOL_DIRECTION: (0.0464177, -0.237124, -0.97037)
TIME_SPECIAL: 222593115066918; POINT_POSITION: (368.077, 229.779, 217.279); TOOL_DIRECTION: (0.0513567, -0.227966, -0.972314)
TIME_SPECIAL: 222593149888868; POINT_POSITION: (377.879, 226.799, 217.279); TOOL_DIRECTION: (0.0461872, -0.221686, -0.974024)
