PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222941053257743
TIME_WORD_START: 222941074517409; WORD_VALUE: the
TIME_SPECIAL: 222944123336366; POINT_POSITION: (521.918, 173.513, 0); TOOL_DIRECTION: (0.033513, -0.276209, -0.960513)
TIME_SPECIAL: 222944159329190; POINT_POSITION: (524.136, 172.356, 0); TOOL_DIRECTION: (0.0324488, -0.274077, -0.96116)
TIME_SPECIAL: 222944193390680; POINT_POSITION: (524.242, 173.328, 0); TOOL_DIRECTION: (0.0296638, -0.26634, -0.963423)
TIME_SPECIAL: 222944228556195; POINT_POSITION: (520.393, 176.921, 0); TOOL_DIRECTION: (0.0247644, -0.248148, -0.968405)
TIME_SPECIAL: 222944262697498; POINT_POSITION: (512.294, 181.059, 0); TOOL_DIRECTION: (0.0211888, -0.252847, -0.967274)
TIME_SPECIAL: 222944301388599; POINT_POSITION: (500.277, 186.181, 0); TOOL_DIRECTION: (0.0151499, -0.244517, -0.969527)
TIME_SPECIAL: 222944337910140; POINT_POSITION: (484.782, 191.865, 0); TOOL_DIRECTION: (0.00940777, -0.239899, -0.970752)
TIME_SPECIAL: 222944369464177; POINT_POSITION: (466.552, 196.511, 0); TOOL_DIRECTION: (9.07206e-005, -0.231613, -0.972808)
TIME_SPECIAL: 222944408066956; POINT_POSITION: (445.674, 202.299, 0); TOOL_DIRECTION: (-0.0091931, -0.222794, -0.974822)
TIME_SPECIAL: 222944441335979; POINT_POSITION: (426.143, 208.561, 0); TOOL_DIRECTION: (-0.0179179, -0.213297, -0.976823)
TIME_SPECIAL: 222944474353406; POINT_POSITION: (413.96, 212.636, 0); TOOL_DIRECTION: (-0.0235228, -0.205141, -0.97845)
TIME_SPECIAL: 222944510150139; POINT_POSITION: (399.774, 217.565, 0); TOOL_DIRECTION: (-0.0285642, -0.200416, -0.979294)
TIME_SPECIAL: 222944545764556; POINT_POSITION: (387.252, 221.617, 0); TOOL_DIRECTION: (-0.0341095, -0.195727, -0.980065)
