PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221966136902702
TIME_WORD_START: 221966143975752; WORD_VALUE: the
TIME_SPECIAL: 221968224800485; POINT_POSITION: (493.106, 190.452, 0); TOOL_DIRECTION: (0.140723, -0.323497, -0.935706)
TIME_SPECIAL: 221968260321313; POINT_POSITION: (471.05, 195.073, 0); TOOL_DIRECTION: (0.12969, -0.315503, -0.94002)
TIME_SPECIAL: 221968291975017; POINT_POSITION: (449.522, 200.638, 0); TOOL_DIRECTION: (0.12115, -0.306207, -0.944225)
TIME_SPECIAL: 221968325020399; POINT_POSITION: (432.243, 205.19, 0); TOOL_DIRECTION: (0.113758, -0.298992, -0.947451)
TIME_SPECIAL: 221968363417768; POINT_POSITION: (407.501, 209.728, 0); TOOL_DIRECTION: (0.10162, -0.29286, -0.95074)
TIME_SPECIAL: 221968392575363; POINT_POSITION: (389.883, 212.158, 0); TOOL_DIRECTION: (0.0934367, -0.291411, -0.952024)
TIME_SPECIAL: 221968428843687; POINT_POSITION: (367.925, 215.918, 0); TOOL_DIRECTION: (0.083381, -0.287021, -0.954288)
TIME_SPECIAL: 221968461075939; POINT_POSITION: (345.668, 217.8, 0); TOOL_DIRECTION: (0.0735639, -0.288154, -0.954754)
TIME_SPECIAL: 221968504638524; POINT_POSITION: (326.857, 219.926, 0); TOOL_DIRECTION: (0.0654536, -0.287987, -0.955395)
TIME_SPECIAL: 221968537824086; POINT_POSITION: (312.869, 224.401, 0); TOOL_DIRECTION: (0.0611383, -0.280838, -0.957806)
TIME_PRESSED: 221968538416816; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 221968598413364; POINT_POSITION: (294.283, 231.651, 0); TOOL_DIRECTION: (0.0551123, -0.269925, -0.961303)
TIME_SPECIAL: 221968630905721; POINT_POSITION: (282.533, 234.974, 0); TOOL_DIRECTION: (0.0514491, -0.26553, -0.962729)
TIME_SPECIAL: 221968664439305; POINT_POSITION: (275.167, 238.083, 0); TOOL_DIRECTION: (0.048728, -0.260455, -0.964255)
TIME_SPECIAL: 221968696028995; POINT_POSITION: (268.426, 242.147, 0); TOOL_DIRECTION: (0.0462478, -0.25191, -0.966645)
TIME_SPECIAL: 221968726528436; POINT_POSITION: (261.362, 244.518, 0); TOOL_DIRECTION: (0.0449841, -0.250606, -0.967043)
TIME_SPECIAL: 221968759567335; POINT_POSITION: (257.451, 245.982, 0); TOOL_DIRECTION: (0.0436813, -0.249725, -0.967331)
TIME_SPECIAL: 221968785330206; POINT_POSITION: (256.342, 246.623, 0); TOOL_DIRECTION: (0.0435618, -0.248591, -0.967628)
TIME_SPECIAL: 221968816857099; POINT_POSITION: (254.575, 247.923, 0); TOOL_DIRECTION: (0.046261, -0.247135, -0.967876)
TIME_SPECIAL: 221968857664280; POINT_POSITION: (255.591, 247.662, 0); TOOL_DIRECTION: (0.0484471, -0.248358, -0.967456)
TIME_SPECIAL: 221968893818353; POINT_POSITION: (256.488, 246.885, 0); TOOL_DIRECTION: (0.0491692, -0.250605, -0.96684)
TIME_SPECIAL: 221968942370318; POINT_POSITION: (258.617, 245.393, 0); TOOL_DIRECTION: (0.0504141, -0.2548, -0.965679)
TIME_SPECIAL: 221968983375617; POINT_POSITION: (258.851, 245.156, 0); TOOL_DIRECTION: (0.0509524, -0.25708, -0.965046)
TIME_SPECIAL: 221969016567662; POINT_POSITION: (256.247, 248.538, 0); TOOL_DIRECTION: (0.0460519, -0.251938, -0.966647)
TIME_SPECIAL: 221969053495159; POINT_POSITION: (254.122, 253.257, 0); TOOL_DIRECTION: (0.0425482, -0.244782, -0.968644)
TIME_SPECIAL: 221969094092070; POINT_POSITION: (250.31, 260.445, 0); TOOL_DIRECTION: (0.03808, -0.243044, -0.969268)
TIME_SPECIAL: 221969127260617; POINT_POSITION: (249.374, 267.05, 25.7306); TOOL_DIRECTION: (0.0370411, -0.245423, -0.968708)
TIME_PRESSED: 221969127483447; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 221969127645101; WORD_VALUE: the
TIME_WORD_START: 221969127845243; WORD_VALUE: brown
TIME_SPECIAL: 221969186308716; POINT_POSITION: (246.347, 278.373, 74.3098); TOOL_DIRECTION: (0.029872, -0.246683, -0.968636)
TIME_SPECIAL: 221969232461808; POINT_POSITION: (250.54, 284.222, 115.575); TOOL_DIRECTION: (0.035774, -0.258573, -0.965329)
TIME_SPECIAL: 221969275994412; POINT_POSITION: (253.344, 287.707, 158.48); TOOL_DIRECTION: (0.0408887, -0.275945, -0.960303)
TIME_SPECIAL: 221969318871083; POINT_POSITION: (247.865, 291.981, 193.771); TOOL_DIRECTION: (0.0287806, -0.276219, -0.960664)
TIME_SPECIAL: 221969364426583; POINT_POSITION: (255.469, 295.366, 241.151); TOOL_DIRECTION: (0.0361101, -0.280331, -0.959224)
TIME_SPECIAL: 221969412378932; POINT_POSITION: (270.685, 295.364, 294.48); TOOL_DIRECTION: (0.0495941, -0.29166, -0.955236)
TIME_SPECIAL: 221969449123708; POINT_POSITION: (292.491, 286.089, 348.759); TOOL_DIRECTION: (0.0661005, -0.321822, -0.94449)
