TIME_EXPERIMENT_START: 312860313893451
TIME_WORD_START: 312860319066769 WORD_VALUE: the
TIME_PRESSED: 312865211965034 KEY_PRESSED: VK_O KEY_EXPECTED: VK_O KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312865265285170 POINT_POSITION: (576, 261, 0)
TIME_SPECIAL: 312865294151870 POINT_POSITION: (592, 262, 0)
TIME_SPECIAL: 312865318530354 POINT_POSITION: (592, 262, 0)
TIME_SPECIAL: 312865344035147 POINT_POSITION: (616, 264, 0)
TIME_SPECIAL: 312865369210960 POINT_POSITION: (616, 264, 0)
TIME_SPECIAL: 312865393976765 POINT_POSITION: (623, 266, 0)
TIME_SPECIAL: 312865418180632 POINT_POSITION: (633, 266, 0)
TIME_SPECIAL: 312865443178991 POINT_POSITION: (633, 267, 0)
TIME_SPECIAL: 312865467547347 POINT_POSITION: (638, 267, 0)
TIME_SPECIAL: 312865491880050 POINT_POSITION: (638, 267, 0)
TIME_SPECIAL: 312865517848330 POINT_POSITION: (638, 267, 0)
TIME_SPECIAL: 312865540923864 POINT_POSITION: (638, 267, 0)
TIME_SPECIAL: 312865563734026 POINT_POSITION: (620, 267, 0)
TIME_SPECIAL: 312865591302635 POINT_POSITION: (620, 267, 0)
TIME_SPECIAL: 312865616308287 POINT_POSITION: (580, 267, 0)
TIME_SPECIAL: 312865638779746 POINT_POSITION: (503, 262, 0)
TIME_SPECIAL: 312865664402031 POINT_POSITION: (380, 251, 0)
TIME_SPECIAL: 312865696110024 POINT_POSITION: (380, 251, 0)
TIME_SPECIAL: 312865717705962 POINT_POSITION: (342, 252, 0)
TIME_SPECIAL: 312865744273859 POINT_POSITION: (323, 254, 0)
TIME_SPECIAL: 312865770999764 POINT_POSITION: (290, 254, 0)
TIME_SPECIAL: 312865804663400 POINT_POSITION: (264, 257, 0)
TIME_SPECIAL: 312865829723341 POINT_POSITION: (226, 261, 0)
TIME_SPECIAL: 312865853063030 POINT_POSITION: (226, 262, 0)
TIME_SPECIAL: 312865879278044 POINT_POSITION: (209, 264, 0)
TIME_SPECIAL: 312865905672944 POINT_POSITION: (199, 266, 0)
TIME_SPECIAL: 312865930996231 POINT_POSITION: (199, 266, 0)
TIME_PRESSED: 312865931488889 KEY_PRESSED: VK_W KEY_EXPECTED: VK_W KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312865973938130 POINT_POSITION: (194, 266, 0)
TIME_SPECIAL: 312865998759035 POINT_POSITION: (180, 267, 0)
TIME_SPECIAL: 312866029142199 POINT_POSITION: (166, 269, 0)
TIME_SPECIAL: 312866064092986 POINT_POSITION: (166, 271, 0)
TIME_SPECIAL: 312866092080112 POINT_POSITION: (156, 271, 0)
TIME_SPECIAL: 312866118807232 POINT_POSITION: (152, 271, 0)
TIME_SPECIAL: 312866143029735 POINT_POSITION: (141, 272, 0)
TIME_SPECIAL: 312866168763435 POINT_POSITION: (141, 272, 0)
TIME_SPECIAL: 312866195043678 POINT_POSITION: (138, 272, 0)
TIME_SPECIAL: 312866221231953 POINT_POSITION: (137, 272, 0)
TIME_SPECIAL: 312866244345165 POINT_POSITION: (137, 272, 0)
TIME_SPECIAL: 312866268030849 POINT_POSITION: (137, 272, 0)
TIME_SPECIAL: 312866293548201 POINT_POSITION: (138, 272, 0)
TIME_SPECIAL: 312866319471915 POINT_POSITION: (138, 272, 0)
TIME_SPECIAL: 312866341549167 POINT_POSITION: (144, 264, 0)
TIME_SPECIAL: 312866360799305 POINT_POSITION: (175, 258, 0)
TIME_SPECIAL: 312866385894900 POINT_POSITION: (209, 243, 0)
TIME_SPECIAL: 312866414420466 POINT_POSITION: (250, 227, 0)
TIME_SPECIAL: 312866442309141 POINT_POSITION: (302, 213, 0)
TIME_SPECIAL: 312866472094713 POINT_POSITION: (302, 213, 0)
TIME_SPECIAL: 312866494989146 POINT_POSITION: (392, 172, 0)
TIME_SPECIAL: 312866523137925 POINT_POSITION: (429, 164, 0)
TIME_SPECIAL: 312866548516717 POINT_POSITION: (449, 160, 0)
TIME_PRESSED: 312866548946983 KEY_PRESSED: VK_N KEY_EXPECTED: VK_N KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312866603217188 POINT_POSITION: (464, 149, 0)
TIME_SPECIAL: 312866637944739 POINT_POSITION: (482, 149, 0)
TIME_SPECIAL: 312866665900264 POINT_POSITION: (522, 136, 0)
TIME_SPECIAL: 312866692206436 POINT_POSITION: (522, 135, 0)
TIME_SPECIAL: 312866717065425 POINT_POSITION: (531, 135, 0)
TIME_SPECIAL: 312866743194954 POINT_POSITION: (549, 129, 0)
TIME_SPECIAL: 312866769290045 POINT_POSITION: (551, 128, 0)
