PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222505066783970
TIME_WORD_START: 222505080639985; WORD_VALUE: the
TIME_SPECIAL: 222509893012111; POINT_POSITION: (465.695, 53.1559, 434.558)
TIME_SPECIAL: 222509924071059; POINT_POSITION: (480.549, 49.684, 434.558)
TIME_SPECIAL: 222509954632082; POINT_POSITION: (489.995, 48.6977, 434.558)
TIME_SPECIAL: 222509987177513; POINT_POSITION: (498.648, 48.5982, 434.558)
TIME_SPECIAL: 222510021788787; POINT_POSITION: (508.484, 49.1416, 434.558)
TIME_SPECIAL: 222510053833457; POINT_POSITION: (514.695, 49.8556, 434.558)
TIME_SPECIAL: 222510092475535; POINT_POSITION: (521.697, 50.9613, 434.558)
TIME_SPECIAL: 222510126138765; POINT_POSITION: (527.072, 51.9855, 434.558)
TIME_SPECIAL: 222510159658979; POINT_POSITION: (530.288, 52.6293, 434.558)
TIME_SPECIAL: 222510194139391; POINT_POSITION: (533.633, 53.3231, 434.558)
TIME_SPECIAL: 222510230169489; POINT_POSITION: (535.557, 53.762, 434.558)
TIME_SPECIAL: 222510266764766; POINT_POSITION: (537.572, 54.3324, 434.558)
TIME_SPECIAL: 222510300991961; POINT_POSITION: (539.014, 55.0479, 434.558)
TIME_SPECIAL: 222510337551990; POINT_POSITION: (539.761, 55.7757, 434.558)
TIME_SPECIAL: 222510370237602; POINT_POSITION: (540.605, 57.2102, 434.558)
TIME_SPECIAL: 222510406194773; POINT_POSITION: (541.215, 58.8734, 434.558)
TIME_SPECIAL: 222510443335783; POINT_POSITION: (541.851, 61.9811, 434.558)
TIME_SPECIAL: 222510478894695; POINT_POSITION: (542.131, 65.7978, 434.558)
TIME_SPECIAL: 222510511286170; POINT_POSITION: (542.035, 69.7946, 434.558)
TIME_SPECIAL: 222510545926209; POINT_POSITION: (541.723, 72.8686, 434.558)
TIME_SPECIAL: 222510580174472; POINT_POSITION: (540.887, 76.8357, 434.558)
TIME_SPECIAL: 222510619403607; POINT_POSITION: (540.026, 79.6556, 434.558)
TIME_SPECIAL: 222510651483120; POINT_POSITION: (538.79, 82.9559, 434.558)
TIME_SPECIAL: 222510685662102; POINT_POSITION: (537.843, 85.0833, 434.558)
TIME_SPECIAL: 222510725654939; POINT_POSITION: (536.258, 88.2073, 434.558)
TIME_SPECIAL: 222510761282321; POINT_POSITION: (535.129, 90.0907, 434.558)
TIME_SPECIAL: 222510793136572; POINT_POSITION: (533.425, 92.4341, 434.558)
TIME_SPECIAL: 222510823411966; POINT_POSITION: (532.473, 93.5826, 0)
TIME_PRESSED: 222510823771331; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 222510905102092; POINT_POSITION: (530.039, 96.033, 0)
TIME_SPECIAL: 222510947490967; POINT_POSITION: (528.427, 97.4648, 0)
TIME_SPECIAL: 222510984436696; POINT_POSITION: (524.838, 100.713, 0)
TIME_SPECIAL: 222511021886832; POINT_POSITION: (517.913, 106.686, 0)
TIME_SPECIAL: 222511056395199; POINT_POSITION: (509.414, 113.884, 0)
TIME_SPECIAL: 222511090789314; POINT_POSITION: (492.21, 128.533, 0)
TIME_SPECIAL: 222511126084071; POINT_POSITION: (475.291, 142.678, 0)
TIME_SPECIAL: 222511159211698; POINT_POSITION: (450.174, 163.641, 0)
TIME_SPECIAL: 222511195018154; POINT_POSITION: (423.536, 185.327, 0)
TIME_SPECIAL: 222511226191759; POINT_POSITION: (405.163, 199.91, 0)
TIME_SPECIAL: 222511279365232; POINT_POSITION: (379.706, 219.679, 0)
TIME_PRESSED: 222511279717304; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 222511360429812; POINT_POSITION: (346.352, 245.77, 0)
TIME_SPECIAL: 222511400184422; POINT_POSITION: (332.07, 256.331, 0)
TIME_SPECIAL: 222511432472180; POINT_POSITION: (323.721, 262.221, 0)
TIME_SPECIAL: 222511467086695; POINT_POSITION: (319.136, 265.192, 0)
TIME_SPECIAL: 222511496547745; POINT_POSITION: (315.98, 267.081, 0)
TIME_SPECIAL: 222511528282072; POINT_POSITION: (313.708, 268.376, 0)
TIME_SPECIAL: 222511561470876; POINT_POSITION: (312.163, 269.248, 0)
TIME_SPECIAL: 222511598335576; POINT_POSITION: (311.791, 269.481, 0)
TIME_SPECIAL: 222511639806793; POINT_POSITION: (311.713, 269.585, 0)
TIME_SPECIAL: 222511687803302; POINT_POSITION: (312.209, 269.804, 0)
TIME_SPECIAL: 222511723889715; POINT_POSITION: (313.652, 270.015, 0)
TIME_SPECIAL: 222511756734145; POINT_POSITION: (322.84, 270.585, 0)
TIME_SPECIAL: 222511792712789; POINT_POSITION: (336.172, 270.97, 0)
TIME_SPECIAL: 222511823665993; POINT_POSITION: (367.097, 271.226, 0)
TIME_SPECIAL: 222511862904447; POINT_POSITION: (409.579, 270.883, 0)
TIME_SPECIAL: 222511894963297; POINT_POSITION: (447.232, 269.622, 0)
TIME_SPECIAL: 222511926594312; POINT_POSITION: (481.862, 269.257, 0)
TIME_SPECIAL: 222511956840131; POINT_POSITION: (528.398, 270.569, 0)
TIME_SPECIAL: 222511990218544; POINT_POSITION: (564.896, 272.302, 0)
TIME_SPECIAL: 222512025167710; POINT_POSITION: (608.791, 275.006, 0)
TIME_SPECIAL: 222512051441066; POINT_POSITION: (617.462, 275.804, 0)
TIME_SPECIAL: 222512082630471; POINT_POSITION: (636.707, 277.221, 0)
TIME_PRESSED: 222512082893411; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
TIME_SPECIAL: 222512187981972; POINT_POSITION: (663.457, 277.081, 0)
TIME_SPECIAL: 222512228731623; POINT_POSITION: (671.443, 276.957, 0)
TIME_SPECIAL: 222512263627310; POINT_POSITION: (681.282, 276.388, 0)
TIME_SPECIAL: 222512297081890; POINT_POSITION: (685.075, 276.029, 0)
TIME_SPECIAL: 222512341301217; POINT_POSITION: (688.236, 275.646, 0)
TIME_SPECIAL: 222512374636279; POINT_POSITION: (689.565, 275.276, 0)
TIME_SPECIAL: 222512409674578; POINT_POSITION: (688.274, 274.414, 0)
TIME_SPECIAL: 222512440537840; POINT_POSITION: (682.292, 273.043, 0)
TIME_SPECIAL: 222512477151754; POINT_POSITION: (676.693, 272.25, 0)
TIME_SPECIAL: 222512508064039; POINT_POSITION: (663.153, 270.957, 0)
TIME_SPECIAL: 222512542417234; POINT_POSITION: (633.31, 271.397, 0)
TIME_SPECIAL: 222512577657701; POINT_POSITION: (602.683, 271.233, 0)
TIME_SPECIAL: 222512610751701; POINT_POSITION: (555.622, 269.409, 0)
TIME_SPECIAL: 222512645855228; POINT_POSITION: (520.539, 268.475, 0)
TIME_SPECIAL: 222512683652575; POINT_POSITION: (477.41, 268.404, 0)
TIME_SPECIAL: 222512717455986; POINT_POSITION: (439.852, 269.482, 0)
TIME_SPECIAL: 222512749102802; POINT_POSITION: (415.177, 270.279, 0)
TIME_SPECIAL: 222512784067364; POINT_POSITION: (392.986, 270.268, 0)
TIME_SPECIAL: 222512818228115; POINT_POSITION: (367.336, 269.067, 0)
TIME_SPECIAL: 222512852365772; POINT_POSITION: (345.188, 265.911, 0)
TIME_SPECIAL: 222512885325263; POINT_POSITION: (324.98, 262.435, 0)
TIME_SPECIAL: 222512919332869; POINT_POSITION: (311.327, 260.026, 0)
TIME_SPECIAL: 222512955526240; POINT_POSITION: (294.405, 257.212, 0)
TIME_SPECIAL: 222512988352033; POINT_POSITION: (283.59, 255.727, 0)
TIME_SPECIAL: 222513025262919; POINT_POSITION: (270.313, 254.693, 0)
TIME_SPECIAL: 222513056495675; POINT_POSITION: (261.009, 254.089, 0)
TIME_SPECIAL: 222513092559805; POINT_POSITION: (251.876, 253.691, 0)
TIME_PRESSED: 222513092849890; KEY_PRESSED: VK_W; KEY_EXPECTED: VK_W
TIME_SPECIAL: 222513176137510; POINT_POSITION: (225.365, 251.881, 0)
TIME_SPECIAL: 222513208256726; POINT_POSITION: (218.566, 251.286, 0)
TIME_SPECIAL: 222513241911449; POINT_POSITION: (209.954, 250.489, 0)
TIME_SPECIAL: 222513266040769; POINT_POSITION: (208.009, 250.3, 0)
TIME_SPECIAL: 222513309091653; POINT_POSITION: (199.754, 249.479, 0)
TIME_SPECIAL: 222513341437752; POINT_POSITION: (195.51, 249.008, 0)
TIME_SPECIAL: 222513381629110; POINT_POSITION: (190.495, 248.294, 0)
TIME_SPECIAL: 222513416926298; POINT_POSITION: (187.224, 247.604, 0)
TIME_SPECIAL: 222513457872445; POINT_POSITION: (185.945, 247.258, 0)
TIME_SPECIAL: 222513489673621; POINT_POSITION: (183.307, 246.299, 0)
TIME_SPECIAL: 222513528034123; POINT_POSITION: (182.165, 245.496, 0)
TIME_SPECIAL: 222513561078694; POINT_POSITION: (182.099, 244.579, 0)
TIME_SPECIAL: 222513593445861; POINT_POSITION: (183.654, 242.854, 0)
TIME_SPECIAL: 222513625640840; POINT_POSITION: (193.536, 237.043, 0)
TIME_SPECIAL: 222513660124088; POINT_POSITION: (222.145, 222.595, 0)
TIME_SPECIAL: 222513691932557; POINT_POSITION: (256.966, 205.923, 0)
