TIME_EXPERIMENT_START: 14895102190570
TIME_WORD_START: 14895105553667; WORD_VALUE: the
TIME_SPECIAL: 14896665247718; POINT_POSITION: (331.47, 269.457, 0); TOOL_DIRECTION: (-0.138097, 0.0385656, -0.989668)
TIME_SPECIAL: 14896679849092; POINT_POSITION: (333.949, 270.78, 0); TOOL_DIRECTION: (-0.134212, 0.0447468, -0.989942)
TIME_SPECIAL: 14896695560558; POINT_POSITION: (336.812, 269.287, 0); TOOL_DIRECTION: (-0.131672, 0.0474621, -0.990156)
TIME_SPECIAL: 14896710316696; POINT_POSITION: (343.204, 264.208, 0); TOOL_DIRECTION: (-0.12741, 0.0479831, -0.990689)
TIME_SPECIAL: 14896725754691; POINT_POSITION: (347.37, 261.572, 0); TOOL_DIRECTION: (-0.124689, 0.049287, -0.990971)
TIME_SPECIAL: 14896740420887; POINT_POSITION: (354.8, 255.286, 0); TOOL_DIRECTION: (-0.119453, 0.0443606, -0.991848)
TIME_SPECIAL: 14896754474911; POINT_POSITION: (362.325, 248.968, 0); TOOL_DIRECTION: (-0.114711, 0.0388516, -0.992639)
TIME_SPECIAL: 14896770271458; POINT_POSITION: (369.943, 241.589, 0); TOOL_DIRECTION: (-0.10963, 0.0291678, -0.993544)
TIME_SPECIAL: 14896785712694; POINT_POSITION: (373.475, 237.924, 0); TOOL_DIRECTION: (-0.107612, 0.023516, -0.993915)
TIME_SPECIAL: 14896800118788; POINT_POSITION: (380.582, 231.454, 0); TOOL_DIRECTION: (-0.104211, 0.0172585, -0.994406)
TIME_PRESSED: 14896800291379; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 14896819049525; POINT_POSITION: (386.585, 224.692, 0); TOOL_DIRECTION: (-0.102762, 0.010881, -0.994646)
TIME_SPECIAL: 14896831526730; POINT_POSITION: (392.915, 218.443, 0); TOOL_DIRECTION: (-0.100444, 0.00549169, -0.994928)
TIME_SPECIAL: 14896845662999; POINT_POSITION: (396.159, 215.924, 0); TOOL_DIRECTION: (-0.0992316, 0.00491627, -0.995052)
TIME_SPECIAL: 14896859954842; POINT_POSITION: (402.491, 211.033, 0); TOOL_DIRECTION: (-0.0965469, 0.00314754, -0.995323)
TIME_SPECIAL: 14896875537878; POINT_POSITION: (409.402, 204.354, 0); TOOL_DIRECTION: (-0.0924133, -0.0022897, -0.995718)
TIME_SPECIAL: 14896890238917; POINT_POSITION: (412.516, 201.021, 0); TOOL_DIRECTION: (-0.0910588, -0.00586374, -0.995828)
TIME_SPECIAL: 14896903670640; POINT_POSITION: (418.233, 195.342, 0); TOOL_DIRECTION: (-0.0879522, -0.0119747, -0.996053)
TIME_SPECIAL: 14896918382618; POINT_POSITION: (423.477, 189.407, 0); TOOL_DIRECTION: (-0.0857154, -0.0169455, -0.996176)
TIME_SPECIAL: 14896933268807; POINT_POSITION: (426.12, 187.277, 0); TOOL_DIRECTION: (-0.0837792, -0.0176431, -0.996328)
TIME_SPECIAL: 14896947375905; POINT_POSITION: (430.928, 183.208, 0); TOOL_DIRECTION: (-0.0804769, -0.0185184, -0.996584)
TIME_SPECIAL: 14896960309302; POINT_POSITION: (435.478, 178.456, 0); TOOL_DIRECTION: (-0.0770587, -0.0220337, -0.996783)
TIME_SPECIAL: 14896974114974; POINT_POSITION: (437.422, 176.724, 0); TOOL_DIRECTION: (-0.0755693, -0.0227703, -0.996881)
TIME_SPECIAL: 14896988072169; POINT_POSITION: (440.625, 173.744, 0); TOOL_DIRECTION: (-0.0731741, -0.0233362, -0.997046)
TIME_SPECIAL: 14897002144019; POINT_POSITION: (441.682, 172.505, 0); TOOL_DIRECTION: (-0.0723154, -0.0242868, -0.997086)
TIME_SPECIAL: 14897015723215; POINT_POSITION: (442.943, 170.643, 0); TOOL_DIRECTION: (-0.0722705, -0.0240566, -0.997095)
TIME_SPECIAL: 14897029905670; POINT_POSITION: (443.82, 169.694, 0); TOOL_DIRECTION: (-0.0720518, -0.0217826, -0.997163)
TIME_SPECIAL: 14897043919585; POINT_POSITION: (444.092, 169.295, 0); TOOL_DIRECTION: (-0.0719504, -0.0209252, -0.997189)
TIME_SPECIAL: 14897058555801; POINT_POSITION: (444.455, 168.736, 0); TOOL_DIRECTION: (-0.0714297, -0.0203911, -0.997237)
TIME_SPECIAL: 14897071329571; POINT_POSITION: (444.477, 168.485, 0); TOOL_DIRECTION: (-0.0713758, -0.0204306, -0.99724)
TIME_SPECIAL: 14897084839083; POINT_POSITION: (444.54, 168.175, 0); TOOL_DIRECTION: (-0.0709762, -0.0205372, -0.997267)
