KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [dubbed, bale, find, mans, sires, hailed, core, sue, coy, sicker, falls, shier, tin, dipped, tales]
ERROR_RATE_KSPC: [3.8, 2.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [2.4285715, 2.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [28.57143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [36.842106, 27.272728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38.88889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [58.333332, 37.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.636364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [58.333332, 37.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.636364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [36.842106, 27.272728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38.88889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [738.64325, 479.33954, 141.05536, 146.0337, 142.21097, 182.63809, 204.01663, 287.1798, 426.14792, 249.61555, 201.5165, 74.56128, 181.01028, 256.34457, 155.10089]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [329.56192, 479.33954, 141.05536, 146.0337, 142.21097, 182.63809, 204.01663, 287.1798, 426.14792, 249.61555, 201.5165, 74.56128, 181.01028, 256.34457, 155.10089]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [329.56192, 282.70273, 141.05536, 146.0337, 142.21097, 182.63809, 204.01663, 287.1798, 426.14792, 249.61555, 201.5165, 74.56128, 181.01028, 256.34457, 155.10089]
KEYBOARD_TYPE: leapAirStatic
PRACTICE_WORDS_PER_INPUT: 6
WORD_ORDER: [balls, sores, rind, sire, yipped, gape, got, shirt, hales, lane, socket, sir, subbed, rub, bailed]
NUMBER_OF_TIMES_PLANE_BREACHED: [7, 1, 1, 5, 1, 9, 1, 1, 1, 1, 3, 1, 1, 1, 3]
