PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 147748413571130
TIME_WORD_START: 147748414493292; WORD_VALUE: cocker
TIME_SPECIAL: 147749454775981; POINT_POSITION: (457.34, 115.567, 101.882); TOOL_DIRECTION: (-0.151657, -0.326422, -0.932978)
TIME_SPECIAL: 147749471428644; POINT_POSITION: (455.285, 118.25, 98.2421); TOOL_DIRECTION: (-0.153448, -0.310225, -0.938197)
TIME_SPECIAL: 147749488155831; POINT_POSITION: (454.335, 119.876, 96.2589); TOOL_DIRECTION: (-0.152592, -0.294752, -0.943312)
TIME_SPECIAL: 147749504866804; POINT_POSITION: (454.335, 119.876, 96.2589); TOOL_DIRECTION: (-0.146947, -0.295154, -0.944082)
TIME_SPECIAL: 147749521467698; POINT_POSITION: (452.805, 124.03, 88.8435); TOOL_DIRECTION: (-0.144919, -0.282912, -0.948134)
TIME_SPECIAL: 147749538138280; POINT_POSITION: (451.636, 128.215, 82.6069); TOOL_DIRECTION: (-0.142347, -0.265627, -0.953509)
TIME_SPECIAL: 147749554841289; POINT_POSITION: (452.945, 129.515, 80.0748); TOOL_DIRECTION: (-0.137715, -0.261517, -0.955324)
TIME_SPECIAL: 147749571507605; POINT_POSITION: (452.844, 130.108, 78.2063); TOOL_DIRECTION: (-0.13585, -0.256672, -0.956903)
TIME_SPECIAL: 147749588187005; POINT_POSITION: (448.393, 130.661, 75.7454); TOOL_DIRECTION: (-0.139102, -0.24955, -0.958319)
TIME_SPECIAL: 147749604811793; POINT_POSITION: (440.155, 130.125, 73.0826); TOOL_DIRECTION: (-0.143368, -0.24716, -0.95831)
TIME_SPECIAL: 147749621572828; POINT_POSITION: (429.372, 128.439, 70.8305); TOOL_DIRECTION: (-0.147069, -0.248413, -0.957425)
TIME_SPECIAL: 147749638181402; POINT_POSITION: (418.452, 126.873, 68.6436); TOOL_DIRECTION: (-0.151836, -0.247328, -0.956961)
TIME_SPECIAL: 147749654857104; POINT_POSITION: (408.397, 126.12, 66.09); TOOL_DIRECTION: (-0.15634, -0.241254, -0.957786)
TIME_SPECIAL: 147749671551864; POINT_POSITION: (402.76, 125.51, 64.9739); TOOL_DIRECTION: (-0.158659, -0.238772, -0.958027)
TIME_SPECIAL: 147749688182909; POINT_POSITION: (393.884, 123.644, 62.6937); TOOL_DIRECTION: (-0.162655, -0.23629, -0.957972)
TIME_SPECIAL: 147749704884496; POINT_POSITION: (388.714, 121.247, 60.457); TOOL_DIRECTION: (-0.161675, -0.233439, -0.958837)
TIME_SPECIAL: 147749721575843; POINT_POSITION: (383.79, 118.243, 58.1336); TOOL_DIRECTION: (-0.161399, -0.229117, -0.959925)
TIME_SPECIAL: 147749738264630; POINT_POSITION: (381.74, 114.052, 56.0614); TOOL_DIRECTION: (-0.15839, -0.232902, -0.959515)
TIME_SPECIAL: 147749754936919; POINT_POSITION: (381.012, 110.943, 54.1729); TOOL_DIRECTION: (-0.154473, -0.234429, -0.959782)
TIME_SPECIAL: 147749771620301; POINT_POSITION: (378.697, 108.156, 52.0406); TOOL_DIRECTION: (-0.153102, -0.231659, -0.960674)
TIME_SPECIAL: 147749788301692; POINT_POSITION: (375.35, 104.013, 50.4532); TOOL_DIRECTION: (-0.152315, -0.23345, -0.960365)
TIME_SPECIAL: 147749804913680; POINT_POSITION: (372.511, 101.064, 49.0845); TOOL_DIRECTION: (-0.152428, -0.235761, -0.959782)
TIME_SPECIAL: 147749821606733; POINT_POSITION: (370.971, 98.7044, 48.0061); TOOL_DIRECTION: (-0.151713, -0.238322, -0.959263)
TIME_SPECIAL: 147749838253707; POINT_POSITION: (370.023, 96.6868, 46.5927); TOOL_DIRECTION: (-0.150732, -0.24035, -0.958912)
TIME_SPECIAL: 147749854994831; POINT_POSITION: (370.407, 94.6747, 45.3217); TOOL_DIRECTION: (-0.148417, -0.242129, -0.958825)
TIME_SPECIAL: 147749871666836; POINT_POSITION: (371.236, 93.0057, 44.0221); TOOL_DIRECTION: (-0.145798, -0.24262, -0.959103)
TIME_SPECIAL: 147749888332583; POINT_POSITION: (371.904, 92.3849, 43.3892); TOOL_DIRECTION: (-0.144431, -0.241824, -0.959511)
TIME_SPECIAL: 147749905004588; POINT_POSITION: (373.821, 90.7939, 42.0835); TOOL_DIRECTION: (-0.141451, -0.24102, -0.960157)
TIME_SPECIAL: 147749921647295; POINT_POSITION: (377.283, 89.462, 40.7559); TOOL_DIRECTION: (-0.13679, -0.239575, -0.961193)
TIME_SPECIAL: 147749938352295; POINT_POSITION: (379.866, 89.3751, 39.5326); TOOL_DIRECTION: (-0.134393, -0.233269, -0.963081)
TIME_SPECIAL: 147749955007233; POINT_POSITION: (381.941, 89.1755, 38.0038); TOOL_DIRECTION: (-0.131955, -0.22868, -0.964517)
TIME_SPECIAL: 147749971695735; POINT_POSITION: (383.204, 88.8964, 36.9594); TOOL_DIRECTION: (-0.131955, -0.224489, -0.965501)
TIME_SPECIAL: 147749988326780; POINT_POSITION: (386.075, 89.053, 36.7036); TOOL_DIRECTION: (-0.130712, -0.220744, -0.966533)
TIME_SPECIAL: 147750005010447; POINT_POSITION: (388.285, 89.0051, 36.6997); TOOL_DIRECTION: (-0.130589, -0.219205, -0.9669)
TIME_SPECIAL: 147750021743891; POINT_POSITION: (389.691, 89.1385, 37.0522); TOOL_DIRECTION: (-0.13072, -0.220209, -0.966654)
TIME_SPECIAL: 147750038413336; POINT_POSITION: (391.388, 89.1241, 37.1763); TOOL_DIRECTION: (-0.129943, -0.223862, -0.96592)
TIME_SPECIAL: 147750055098141; POINT_POSITION: (392.84, 89.1501, 37.2638); TOOL_DIRECTION: (-0.128882, -0.22765, -0.965176)
TIME_SPECIAL: 147750071764741; POINT_POSITION: (393.524, 89.2316, 37.308); TOOL_DIRECTION: (-0.128712, -0.230419, -0.964541)
