KEYBOARD_TYPE: controller
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [fibs, pans, rub, shied, dubbed, tippee, gapes, calls, docker, fie]
TEXT_ENTRY_RATE_WPM: [22.031008, 27.680374, 28.111105, 24.814892, 20.178469, 33.012093, 28.112232, 26.904394, 25.702154, 23.030256]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [22.031008, 27.680374, 28.111105, 24.814892, 20.178469, 33.012093, 28.112232, 26.904394, 25.702154, 23.030256]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [29.374674, 34.600468, 33.733322, 37.22234, 5.023984, 39.614513, 33.734676, 33.630493, 38.553234, 5.9974]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [29.374674, 34.600468, 33.733322, 37.22234, 5.023984, 39.614513, 33.734676, 33.630493, 38.553234, 5.9974]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 5.5, 1.0, 1.0, 1.0, 1.0, 5.4]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 5.5, 1.0, 1.0, 1.0, 1.0, 5.4]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 40.909092, 0.0, 0.0, 0.0, 0.0, 40.74074]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 69.230774, 0.0, 0.0, 0.0, 0.0, 68.75]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 69.230774, 0.0, 0.0, 0.0, 0.0, 68.75]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 40.909092, 0.0, 0.0, 0.0, 0.0, 40.74074]
FRECHET_DISTANCE_TOUCH_ONLY: [257.3112, 283.84344, 198.32275, 101.52495, 369.55826, 202.19228, 255.71169, 148.46742, 133.4011, 558.0046]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [257.3112, 283.84344, 198.32275, 101.52495, 369.55826, 202.19228, 255.71169, 148.46742, 133.4011, 558.0046]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [257.3112, 283.84344, 198.32275, 101.52495, 298.0354, 202.19228, 255.71169, 148.46742, 133.4011, 312.52472]
KEYBOARD_TYPE: leapAirStatic
PRACTICE_WORDS_PER_INPUT: 8
WORD_ORDER: [etc, tilled, hales, cocker, galls, pelf, tot, rube, shier, rubbed]
NUMBER_OF_TIMES_PLANE_BREACHED: [2, 1, 6, 1, 5, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [17.190344, 29.654716, 121.0448, 44.040295, 70.87509, 38.96654, 19.629734, 20.338696, 27.709162, 26.416668]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [13.377917, 29.654716, 65.5856, 44.040295, 70.87509, 38.96654, 19.629734, 20.338696, 27.709162, 26.416668]
TIME_DURATION_TOUCH_ONLY: [2.1009834, 2.7845085, 7.0200915, 4.1351967, 4.8521795, 2.9846623, 1.650757, 2.1343794, 2.7845032, 2.3177977]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.6675236, 2.7845085, 3.885198, 4.1351967, 4.8521795, 2.9846623, 1.650757, 2.1343794, 2.7845032, 2.3177977]
AVERAGE_PIXEL_VELOCITY: [8.183959, 10.649146, 17.245249, 10.651981, 14.607627, 13.055383, 11.8937435, 9.530831, 9.950143, 11.398976]
REACTION_TIME_FIRST_PRESSED: [1.8441638, 1.5172162, 2.084104, 1.9341421, 1.8840734, 1.9340414, 1.7339858, 1.4504932, 1.8173274, 1.183686]
REACTION_TIME_FIRST_TOUCH: [1.8441638, 1.5172162, 2.084104, 1.9341421, 1.8840734, 1.9340414, 1.7339858, 1.4504932, 1.8173274, 1.183686]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.6173729, 0.0, 0.8420406, 0.0, 0.9503603, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [11.423223, 21.547789, 6.837518, 14.509587, 9.892463, 12.061667, 14.538785, 16.86673, 17.238264, 25.886642]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [14.3926, 21.547789, 12.354583, 14.509587, 9.892463, 12.061667, 14.538785, 16.86673, 17.238264, 25.886642]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [17.134834, 25.85735, 8.546897, 17.411507, 12.365577, 16.082222, 21.808178, 22.488974, 21.547829, 31.06397]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [21.588902, 25.85735, 15.443229, 17.411507, 12.365577, 16.082222, 21.808178, 22.488974, 21.547829, 31.06397]
ERROR_RATE_KSPC: [1.6666666, 1.0, 3.4, 1.0, 2.2, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 2.2, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [25.0, 0.0, 37.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [20.0, 0.0, 35.294117, 0.0, 27.272728, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [25.0, 0.0, 54.545456, 0.0, 37.5, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [25.0, 0.0, 37.5, 0.0, 37.5, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [20.0, 0.0, 35.294117, 0.0, 27.272728, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [658.28156, 242.31372, 499.7995, 207.2437, 566.4117, 251.55528, 151.66194, 142.18318, 183.31386, 145.5934]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [100.366455, 242.31372, 619.64, 207.2437, 566.4117, 251.55528, 151.66194, 142.18318, 183.31386, 145.5934]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [100.366455, 242.31372, 397.2427, 207.2437, 413.98886, 251.55528, 151.66194, 142.18318, 183.31386, 145.5934]
KEYBOARD_TYPE: leapAirPinch
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [gaols, rocker, yippee, dunned, gin, shire, games, sue, find, kans]
NUMBER_OF_TIMES_PLANE_BREACHED: [3, 9, 1, 5, 1, 7, 7, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [73.86254, 156.10275, 33.523125, 82.8258, 21.906578, 95.80116, 114.499565, 27.045692, 30.157272, 48.65991]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [73.86254, 156.10275, 33.523125, 82.8258, 21.906578, 95.80116, 114.499565, 27.045692, 30.157272, 48.65991]
TIME_DURATION_TOUCH_ONLY: [4.4353433, 10.2042675, 4.251866, 9.270655, 2.1342628, 6.3696465, 7.4202824, 2.284329, 3.134683, 3.718443]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [4.4353433, 10.2042675, 4.251866, 9.270655, 2.1342628, 6.3696465, 7.4202824, 2.284329, 3.134683, 3.718443]
