PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 40784760122298
TIME_WORD_START: 40784761120974; WORD_VALUE: tilled
TIME_SPECIAL: 40786538453727; POINT_POSITION: (421.349, 229.953, 73.4028); TOOL_DIRECTION: (-0.0872786, -0.292154, -0.952381)
TIME_SPECIAL: 40786555141091; POINT_POSITION: (420.649, 230.627, 72.4184); TOOL_DIRECTION: (-0.0876759, -0.291018, -0.952692)
TIME_SPECIAL: 40786571776403; POINT_POSITION: (420.07, 231.212, 71.3722); TOOL_DIRECTION: (-0.0871832, -0.290789, -0.952807)
TIME_SPECIAL: 40786588471163; POINT_POSITION: (419.594, 231.793, 70.2302); TOOL_DIRECTION: (-0.08701, -0.288963, -0.953378)
TIME_SPECIAL: 40786605126386; POINT_POSITION: (419.173, 232.288, 69.1145); TOOL_DIRECTION: (-0.086775, -0.289231, -0.953318)
TIME_SPECIAL: 40786621803795; POINT_POSITION: (418.831, 232.693, 67.9932); TOOL_DIRECTION: (-0.0860779, -0.288966, -0.953462)
TIME_SPECIAL: 40786638485470; POINT_POSITION: (418.502, 233.098, 66.8192); TOOL_DIRECTION: (-0.0860845, -0.287767, -0.953824)
TIME_SPECIAL: 40786655230861; POINT_POSITION: (418.161, 233.494, 65.6096); TOOL_DIRECTION: (-0.0864239, -0.286365, -0.954215)
TIME_SPECIAL: 40786671871008; POINT_POSITION: (417.883, 233.902, 64.3324); TOOL_DIRECTION: (-0.0855405, -0.284895, -0.954734)
TIME_SPECIAL: 40786688508027; POINT_POSITION: (417.724, 234.281, 62.9924); TOOL_DIRECTION: (-0.0841424, -0.284149, -0.955081)
TIME_SPECIAL: 40786705141632; POINT_POSITION: (417.706, 234.666, 61.5795); TOOL_DIRECTION: (-0.0823726, -0.282248, -0.955798)
TIME_SPECIAL: 40786721843503; POINT_POSITION: (417.769, 235.052, 60.1126); TOOL_DIRECTION: (-0.0810507, -0.27934, -0.956765)
TIME_SPECIAL: 40786738565000; POINT_POSITION: (417.817, 235.245, 59.334); TOOL_DIRECTION: (-0.0806744, -0.278725, -0.956977)
TIME_SPECIAL: 40786755208561; POINT_POSITION: (417.938, 235.607, 57.6351); TOOL_DIRECTION: (-0.0798018, -0.2788, -0.957028)
TIME_SPECIAL: 40786771880850; POINT_POSITION: (418.151, 235.9, 55.8119); TOOL_DIRECTION: (-0.0780352, -0.279623, -0.956933)
TIME_SPECIAL: 40786788539202; POINT_POSITION: (418.376, 236.197, 53.8715); TOOL_DIRECTION: (-0.0774003, -0.277572, -0.957582)
TIME_SPECIAL: 40786805222300; POINT_POSITION: (418.497, 236.377, 52.8276); TOOL_DIRECTION: (-0.0771266, -0.275725, -0.958138)
TIME_SPECIAL: 40786821858749; POINT_POSITION: (418.898, 236.916, 49.8374); TOOL_DIRECTION: (-0.0764993, -0.273523, -0.958819)
TIME_SPECIAL: 40786838641117; POINT_POSITION: (419.231, 237.317, 47.5952); TOOL_DIRECTION: (-0.075438, -0.270551, -0.959745)
TIME_SPECIAL: 40786855262491; POINT_POSITION: (419.687, 237.79, 44.6597); TOOL_DIRECTION: (-0.0747011, -0.269321, -0.960149)
TIME_SPECIAL: 40786871930229; POINT_POSITION: (420.247, 238.265, 41.0549); TOOL_DIRECTION: (-0.073784, -0.269458, -0.960181)
TIME_SPECIAL: 40786888589434; POINT_POSITION: (420.543, 238.457, 39.0693); TOOL_DIRECTION: (-0.0736238, -0.271543, -0.959606)
TIME_SPECIAL: 40786905287607; POINT_POSITION: (420.543, 238.457, 39.0693); TOOL_DIRECTION: (-0.0735569, -0.271295, -0.959681)
TIME_SPECIAL: 40786921914386; POINT_POSITION: (420.543, 238.457, 39.0693); TOOL_DIRECTION: (-0.0726347, -0.271627, -0.959658)
TIME_SPECIAL: 40786938614266; POINT_POSITION: (420.757, 238.539, 37.8041); TOOL_DIRECTION: (-0.0714218, -0.270654, -0.960024)
TIME_SPECIAL: 40786955351408; POINT_POSITION: (421.086, 238.653, 35.8118); TOOL_DIRECTION: (-0.0715844, -0.271101, -0.959885)
TIME_SPECIAL: 40786971932960; POINT_POSITION: (422.175, 238.951, 29.1629); TOOL_DIRECTION: (-0.0713062, -0.272193, -0.959597)
