PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 123840877189279
TIME_WORD_START: 123840877819318; WORD_VALUE: dinned
TIME_SPECIAL: 123842071574449; POINT_POSITION: (296.702, 205.465, 307.028); TOOL_DIRECTION: (-0.0569582, -0.201279, -0.977876)
TIME_SPECIAL: 123842088280587; POINT_POSITION: (296.725, 205.475, 307.131); TOOL_DIRECTION: (-0.0566806, -0.201572, -0.977832)
TIME_SPECIAL: 123842104983311; POINT_POSITION: (296.818, 205.483, 307.244); TOOL_DIRECTION: (-0.0563908, -0.201623, -0.977839)
TIME_SPECIAL: 123842121642232; POINT_POSITION: (296.895, 205.505, 307.423); TOOL_DIRECTION: (-0.0564568, -0.201415, -0.977878)
TIME_SPECIAL: 123842138340121; POINT_POSITION: (296.935, 205.535, 307.626); TOOL_DIRECTION: (-0.0566146, -0.201266, -0.977899)
TIME_SPECIAL: 123842155028338; POINT_POSITION: (296.978, 205.543, 307.821); TOOL_DIRECTION: (-0.0565518, -0.201577, -0.977839)
TIME_SPECIAL: 123842171657108; POINT_POSITION: (297.002, 205.525, 307.962); TOOL_DIRECTION: (-0.0566065, -0.201909, -0.977767)
TIME_SPECIAL: 123842188342197; POINT_POSITION: (296.999, 205.506, 307.993); TOOL_DIRECTION: (-0.0566342, -0.202153, -0.977715)
TIME_SPECIAL: 123842205059712; POINT_POSITION: (296.895, 205.458, 308.009); TOOL_DIRECTION: (-0.0569716, -0.202755, -0.977571)
TIME_SPECIAL: 123842221712375; POINT_POSITION: (296.701, 205.395, 307.972); TOOL_DIRECTION: (-0.0572991, -0.20351, -0.977395)
TIME_SPECIAL: 123842238363331; POINT_POSITION: (296.496, 205.333, 307.959); TOOL_DIRECTION: (-0.0572887, -0.204199, -0.977252)
TIME_SPECIAL: 123842254991532; POINT_POSITION: (296.298, 205.278, 307.97); TOOL_DIRECTION: (-0.0574548, -0.204548, -0.977169)
TIME_SPECIAL: 123842271725545; POINT_POSITION: (296.162, 205.211, 308.001); TOOL_DIRECTION: (-0.0568931, -0.205813, -0.976936)
TIME_SPECIAL: 123842288416607; POINT_POSITION: (296.098, 205.13, 308.074); TOOL_DIRECTION: (-0.0564692, -0.206304, -0.976857)
TIME_SPECIAL: 123842305082638; POINT_POSITION: (296.058, 205.09, 308.175); TOOL_DIRECTION: (-0.0564442, -0.205825, -0.97696)
TIME_SPECIAL: 123842321783087; POINT_POSITION: (296.017, 205.071, 308.276); TOOL_DIRECTION: (-0.0566583, -0.205523, -0.977011)
TIME_SPECIAL: 123842338475287; POINT_POSITION: (295.992, 205.061, 308.368); TOOL_DIRECTION: (-0.0566283, -0.205314, -0.977057)
TIME_SPECIAL: 123842355075044; POINT_POSITION: (295.97, 205.049, 308.449); TOOL_DIRECTION: (-0.0569088, -0.205178, -0.977069)
