PRACTICE_WORD_COUNT: 9
TIME_EXPERIMENT_START: 152972009560383
TIME_WORD_START: 152972010593761; WORD_VALUE: vales
TIME_SPECIAL: 152973335886011; POINT_POSITION: (458.124, 95.4459, 179.421); TOOL_DIRECTION: (0.376847, -0.0283937, -0.92584)
TIME_SPECIAL: 152973352532416; POINT_POSITION: (468.839, 102.072, 190.399); TOOL_DIRECTION: (0.39669, -0.0181633, -0.917773)
TIME_SPECIAL: 152973369167443; POINT_POSITION: (502.674, 135.864, 228.018); TOOL_DIRECTION: (0.461233, 0.0404649, -0.886356)
TIME_SPECIAL: 152973385851963; POINT_POSITION: (512.666, 148.715, 238.672); TOOL_DIRECTION: (0.478988, 0.0658533, -0.875348)
TIME_SPECIAL: 152973402536483; POINT_POSITION: (526.777, 166.938, 259.354); TOOL_DIRECTION: (0.508948, 0.0835938, -0.856728)
TIME_SPECIAL: 152973419199670; POINT_POSITION: (533.581, 185.372, 276.911); TOOL_DIRECTION: (0.529144, 0.110133, -0.841354)
TIME_SPECIAL: 152973435906093; POINT_POSITION: (537.087, 200.643, 286.698); TOOL_DIRECTION: (0.541563, 0.13555, -0.82966)
TIME_SPECIAL: 152973452537138; POINT_POSITION: (541.633, 208.558, 290.633); TOOL_DIRECTION: (0.553852, 0.144379, -0.820002)
TIME_SPECIAL: 152973469229622; POINT_POSITION: (545.468, 206.865, 291.01); TOOL_DIRECTION: (0.565568, 0.134201, -0.81371)
TIME_SPECIAL: 152973485922960; POINT_POSITION: (545.742, 198.643, 288.718); TOOL_DIRECTION: (0.573719, 0.117202, -0.810623)
TIME_SPECIAL: 152973502575623; POINT_POSITION: (544.953, 194.433, 281.473); TOOL_DIRECTION: (0.572407, 0.106939, -0.812966)
TIME_SPECIAL: 152973519272658; POINT_POSITION: (541.128, 193.765, 273.828); TOOL_DIRECTION: (0.56495, 0.105699, -0.818327)
TIME_SPECIAL: 152973535924468; POINT_POSITION: (540.561, 193.969, 267.466); TOOL_DIRECTION: (0.559966, 0.106222, -0.821678)
TIME_SPECIAL: 152973552547548; POINT_POSITION: (541.467, 195.976, 263.047); TOOL_DIRECTION: (0.556989, 0.112811, -0.822823)
TIME_SPECIAL: 152973569272459; POINT_POSITION: (544.411, 193.05, 256.041); TOOL_DIRECTION: (0.554245, 0.119393, -0.823746)
TIME_SPECIAL: 152973585967504; POINT_POSITION: (546.241, 186.639, 250.285); TOOL_DIRECTION: (0.552154, 0.109673, -0.826497)
TIME_SPECIAL: 152973602644628; POINT_POSITION: (547.108, 177.193, 242.047); TOOL_DIRECTION: (0.545159, 0.102014, -0.832103)
TIME_SPECIAL: 152973619296153; POINT_POSITION: (547.255, 173.679, 240.146); TOOL_DIRECTION: (0.539204, 0.100287, -0.836183)
TIME_SPECIAL: 152973635997740; POINT_POSITION: (545.159, 172.652, 240.565); TOOL_DIRECTION: (0.53245, 0.105197, -0.839899)
TIME_SPECIAL: 152973652663487; POINT_POSITION: (543.789, 164.8, 244.375); TOOL_DIRECTION: (0.528221, 0.0974733, -0.843494)
TIME_SPECIAL: 152973669335492; POINT_POSITION: (545.46, 159.709, 251.796); TOOL_DIRECTION: (0.530995, 0.0924223, -0.842319)
TIME_SPECIAL: 152973686024563; POINT_POSITION: (546.221, 154.344, 258.641); TOOL_DIRECTION: (0.532019, 0.0866841, -0.842283)
TIME_SPECIAL: 152973702691163; POINT_POSITION: (545.068, 150.734, 261.582); TOOL_DIRECTION: (0.528674, 0.0823593, -0.84482)
TIME_SPECIAL: 152973719363168; POINT_POSITION: (546.442, 147.629, 267.571); TOOL_DIRECTION: (0.528916, 0.0783319, -0.845052)
TIME_SPECIAL: 152973736035457; POINT_POSITION: (549.614, 145.519, 273.1); TOOL_DIRECTION: (0.529316, 0.0775562, -0.844873)
TIME_SPECIAL: 152973752674751; POINT_POSITION: (553.26, 143.169, 279.49); TOOL_DIRECTION: (0.532005, 0.0757132, -0.843349)
TIME_SPECIAL: 152973769405351; POINT_POSITION: (558.804, 138.754, 283.913); TOOL_DIRECTION: (0.535322, 0.0683673, -0.841877)
TIME_SPECIAL: 152973786083613; POINT_POSITION: (562.337, 132.217, 286.302); TOOL_DIRECTION: (0.535149, 0.0567694, -0.842848)
TIME_SPECIAL: 152973802722338; POINT_POSITION: (562.486, 129.154, 287.615); TOOL_DIRECTION: (0.533993, 0.0510076, -0.843949)
TIME_SPECIAL: 152973819411125; POINT_POSITION: (563.49, 125.171, 289.239); TOOL_DIRECTION: (0.532147, 0.0417243, -0.845623)
TIME_SPECIAL: 152973836010881; POINT_POSITION: (561.473, 123.93, 289.286); TOOL_DIRECTION: (0.528543, 0.0389595, -0.848012)
TIME_SPECIAL: 152973852762814; POINT_POSITION: (559.672, 123.258, 290.271); TOOL_DIRECTION: (0.524672, 0.0369121, -0.850504)
TIME_SPECIAL: 152973869409788; POINT_POSITION: (558.868, 120.841, 292.823); TOOL_DIRECTION: (0.522232, 0.0299561, -0.852277)
