PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 2190649464554
TIME_WORD_START: 2190650319014; WORD_VALUE: etc
TIME_SPECIAL: 2192861338639; POINT_POSITION: (233.132, 215.254, 0); TOOL_DIRECTION: (-0.148531, 0.221443, -0.963795)
TIME_SPECIAL: 2192877933755; POINT_POSITION: (233.025, 214.882, 0); TOOL_DIRECTION: (-0.147387, 0.222808, -0.963656)
TIME_SPECIAL: 2192894689011; POINT_POSITION: (234.627, 214.38, 0); TOOL_DIRECTION: (-0.143945, 0.222768, -0.964186)
TIME_SPECIAL: 2192911275024; POINT_POSITION: (235.911, 213.658, 0); TOOL_DIRECTION: (-0.141312, 0.219603, -0.965301)
TIME_SPECIAL: 2192927956894; POINT_POSITION: (236.643, 213.551, 0); TOOL_DIRECTION: (-0.140868, 0.21912, -0.965475)
TIME_SPECIAL: 2192944652417; POINT_POSITION: (238.401, 214.403, 0); TOOL_DIRECTION: (-0.138685, 0.221514, -0.965245)
TIME_SPECIAL: 2192961390038; POINT_POSITION: (239.999, 215.17, 0); TOOL_DIRECTION: (-0.137515, 0.223448, -0.964967)
TIME_SPECIAL: 2192978019571; POINT_POSITION: (247.429, 217.036, 0); TOOL_DIRECTION: (-0.134639, 0.227675, -0.964384)
TIME_SPECIAL: 2192994720214; POINT_POSITION: (259.037, 220.25, 0); TOOL_DIRECTION: (-0.129402, 0.235221, -0.963289)
TIME_SPECIAL: 2193011319027; POINT_POSITION: (269.83, 222.857, 0); TOOL_DIRECTION: (-0.124639, 0.239184, -0.962941)
TIME_SPECIAL: 2193028145677; POINT_POSITION: (281.907, 225.104, 0); TOOL_DIRECTION: (-0.120033, 0.24284, -0.962611)
TIME_SPECIAL: 2193044757291; POINT_POSITION: (296.154, 227.474, 0); TOOL_DIRECTION: (-0.113797, 0.244075, -0.963056)
TIME_SPECIAL: 2193061403890; POINT_POSITION: (310.994, 229.861, 0); TOOL_DIRECTION: (-0.107612, 0.249413, -0.962399)
TIME_SPECIAL: 2193078112782; POINT_POSITION: (316.674, 229.74, 0); TOOL_DIRECTION: (-0.103477, 0.246349, -0.963641)
TIME_SPECIAL: 2193094717853; POINT_POSITION: (334.98, 232.867, 0); TOOL_DIRECTION: (-0.0970164, 0.251326, -0.963028)
TIME_PRESSED: 2193094780430; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 2193111429305; POINT_POSITION: (355.341, 235.839, 0); TOOL_DIRECTION: (-0.0858842, 0.255095, -0.963094)
TIME_SPECIAL: 2193128092402; POINT_POSITION: (374.599, 237.552, 0); TOOL_DIRECTION: (-0.0803007, 0.254777, -0.96366)
TIME_SPECIAL: 2193144759481; POINT_POSITION: (389.317, 239.441, 0); TOOL_DIRECTION: (-0.0713052, 0.258103, -0.963482)
TIME_SPECIAL: 2193161425138; POINT_POSITION: (406.447, 239.331, 0); TOOL_DIRECTION: (-0.0612869, 0.250297, -0.966227)
TIME_SPECIAL: 2193178132607; POINT_POSITION: (412.659, 239.682, 0); TOOL_DIRECTION: (-0.0565483, 0.248152, -0.967069)
TIME_SPECIAL: 2193194783189; POINT_POSITION: (423.619, 239.402, 0); TOOL_DIRECTION: (-0.0533508, 0.241155, -0.969019)
TIME_SPECIAL: 2193211457095; POINT_POSITION: (436.775, 240.685, 0); TOOL_DIRECTION: (-0.0495366, 0.247032, -0.96774)
TIME_SPECIAL: 2193228157738; POINT_POSITION: (445.959, 241.874, 0); TOOL_DIRECTION: (-0.0433582, 0.249319, -0.96745)
