PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116205097924312
TIME_WORD_START: 116205099074027; WORD_VALUE: fit
TIME_SPECIAL: 116207440326323; POINT_POSITION: (435.939, 239.084, 263.448); TOOL_DIRECTION: (-0.474071, 0.274463, -0.836616)
TIME_SPECIAL: 116207457003732; POINT_POSITION: (440.211, 238.032, 276.336); TOOL_DIRECTION: (-0.476825, 0.288911, -0.830162)
TIME_SPECIAL: 116207473662083; POINT_POSITION: (444.767, 232.896, 287.148); TOOL_DIRECTION: (-0.478433, 0.292665, -0.827919)
TIME_SPECIAL: 116207490346035; POINT_POSITION: (449.155, 229.367, 295.992); TOOL_DIRECTION: (-0.478971, 0.296829, -0.826123)
TIME_SPECIAL: 116207507059852; POINT_POSITION: (452.845, 227.326, 303.688); TOOL_DIRECTION: (-0.479964, 0.301572, -0.823825)
TIME_SPECIAL: 116207523696017; POINT_POSITION: (453.692, 232.149, 314.669); TOOL_DIRECTION: (-0.487524, 0.317964, -0.813154)
TIME_SPECIAL: 116207540393337; POINT_POSITION: (454.989, 236.743, 325.584); TOOL_DIRECTION: (-0.494903, 0.334012, -0.802189)
TIME_SPECIAL: 116207557053396; POINT_POSITION: (455.846, 239.381, 335.841); TOOL_DIRECTION: (-0.503254, 0.34504, -0.792265)
TIME_SPECIAL: 116207573732511; POINT_POSITION: (458.581, 241.627, 344.559); TOOL_DIRECTION: (-0.508787, 0.354811, -0.784376)
TIME_SPECIAL: 116207590345068; POINT_POSITION: (463.349, 246.643, 353.83); TOOL_DIRECTION: (-0.512832, 0.370339, -0.774502)
TIME_SPECIAL: 116207607043810; POINT_POSITION: (469.302, 247.355, 361.422); TOOL_DIRECTION: (-0.515968, 0.377081, -0.769147)
TIME_SPECIAL: 116207623738570; POINT_POSITION: (478.04, 247.467, 368.005); TOOL_DIRECTION: (-0.516255, 0.382481, -0.766283)
TIME_SPECIAL: 116207640451819; POINT_POSITION: (482.318, 248.44, 371.589); TOOL_DIRECTION: (-0.517286, 0.3867, -0.763465)
TIME_SPECIAL: 116207657083717; POINT_POSITION: (492.191, 247.948, 377.285); TOOL_DIRECTION: (-0.517508, 0.390814, -0.761216)
TIME_SPECIAL: 116207673750886; POINT_POSITION: (502.925, 248.259, 382.15); TOOL_DIRECTION: (-0.51728, 0.395618, -0.758886)
TIME_SPECIAL: 116207690443655; POINT_POSITION: (514.984, 246.276, 383.462); TOOL_DIRECTION: (-0.515833, 0.395583, -0.759888)
TIME_SPECIAL: 116207707136709; POINT_POSITION: (525.977, 243.614, 379.818); TOOL_DIRECTION: (-0.514999, 0.390791, -0.762928)
TIME_SPECIAL: 116207723758367; POINT_POSITION: (533.965, 240.89, 372.675); TOOL_DIRECTION: (-0.513519, 0.383192, -0.767765)
TIME_SPECIAL: 116207740451989; POINT_POSITION: (541.203, 239.444, 364.018); TOOL_DIRECTION: (-0.510234, 0.377838, -0.772593)
TIME_SPECIAL: 116207757166660; POINT_POSITION: (546.763, 242.596, 355.362); TOOL_DIRECTION: (-0.506791, 0.380718, -0.773445)
TIME_SPECIAL: 116207773832692; POINT_POSITION: (554.056, 247.65, 345.632); TOOL_DIRECTION: (-0.500666, 0.384648, -0.775487)
TIME_SPECIAL: 116207790481088; POINT_POSITION: (561.03, 250.897, 334.238); TOOL_DIRECTION: (-0.492629, 0.383481, -0.781191)
TIME_SPECIAL: 116207807178692; POINT_POSITION: (561.928, 251.722, 309.962); TOOL_DIRECTION: (-0.482463, 0.368733, -0.794522)
TIME_SPECIAL: 116207823846999; POINT_POSITION: (568.463, 254.865, 296.866); TOOL_DIRECTION: (-0.471981, 0.374122, -0.79829)
TIME_SPECIAL: 116207840510471; POINT_POSITION: (571.104, 254.358, 285.354); TOOL_DIRECTION: (-0.463304, 0.372312, -0.804197)
TIME_SPECIAL: 116207857170813; POINT_POSITION: (570.815, 252.771, 280.41); TOOL_DIRECTION: (-0.46085, 0.368917, -0.807166)
TIME_SPECIAL: 116207873857609; POINT_POSITION: (566.031, 244.187, 266.574); TOOL_DIRECTION: (-0.456459, 0.359052, -0.814081)
TIME_SPECIAL: 116207890530183; POINT_POSITION: (554.852, 229.701, 248.137); TOOL_DIRECTION: (-0.453171, 0.341121, -0.823573)
TIME_SPECIAL: 116207907201049; POINT_POSITION: (547.899, 221.754, 238.868); TOOL_DIRECTION: (-0.451447, 0.332519, -0.828026)
TIME_SPECIAL: 116207923859685; POINT_POSITION: (535.115, 205.312, 223.47); TOOL_DIRECTION: (-0.446117, 0.317458, -0.83678)
TIME_SPECIAL: 116207940562979; POINT_POSITION: (515.399, 183.757, 200.897); TOOL_DIRECTION: (-0.438483, 0.298374, -0.847766)
