PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 116366150747769
TIME_WORD_START: 116366151421897; WORD_VALUE: cocker
TIME_SPECIAL: 116367712512380; POINT_POSITION: (373.372, 170.746, 53.3324); TOOL_DIRECTION: (-0.28842, -0.00355935, -0.957497)
TIME_SPECIAL: 116367729220509; POINT_POSITION: (372.061, 168.226, 50.9917); TOOL_DIRECTION: (-0.285071, -0.0122312, -0.958428)
TIME_SPECIAL: 116367745891091; POINT_POSITION: (370.411, 166.35, 49.6713); TOOL_DIRECTION: (-0.282975, -0.0183388, -0.958952)
TIME_SPECIAL: 116367762549158; POINT_POSITION: (368.205, 165.506, 49.7983); TOOL_DIRECTION: (-0.290297, -0.0078966, -0.956904)
TIME_SPECIAL: 116367779247332; POINT_POSITION: (367.049, 165.133, 50.299); TOOL_DIRECTION: (-0.292461, -0.00290719, -0.956273)
TIME_SPECIAL: 116367795876101; POINT_POSITION: (366.689, 164.966, 51.1828); TOOL_DIRECTION: (-0.293282, -0.001309, -0.956025)
TIME_SPECIAL: 116367812566879; POINT_POSITION: (366.496, 164.473, 52.3117); TOOL_DIRECTION: (-0.293794, -0.00205478, -0.955867)
TIME_SPECIAL: 116367829269888; POINT_POSITION: (366.788, 163.407, 52.9553); TOOL_DIRECTION: (-0.289055, -0.014814, -0.957198)
TIME_SPECIAL: 116367845933075; POINT_POSITION: (366.227, 162.102, 53.1394); TOOL_DIRECTION: (-0.290819, -0.020627, -0.956556)
TIME_SPECIAL: 116367862617595; POINT_POSITION: (366.114, 160.817, 52.6012); TOOL_DIRECTION: (-0.281529, -0.0322036, -0.959012)
TIME_SPECIAL: 116367879275378; POINT_POSITION: (365.696, 160.328, 52.451); TOOL_DIRECTION: (-0.282428, -0.0354763, -0.958632)
TIME_SPECIAL: 116367895969284; POINT_POSITION: (364.306, 160.048, 52.6684); TOOL_DIRECTION: (-0.284347, -0.0327586, -0.958162)
TIME_SPECIAL: 116367912627351; POINT_POSITION: (363.029, 159.734, 52.7616); TOOL_DIRECTION: (-0.283871, -0.036444, -0.95817)
TIME_SPECIAL: 116367929289685; POINT_POSITION: (362.208, 159.279, 52.8375); TOOL_DIRECTION: (-0.285755, -0.03495, -0.957665)
TIME_SPECIAL: 116367945960552; POINT_POSITION: (361.35, 159.005, 52.9247); TOOL_DIRECTION: (-0.289814, -0.030663, -0.956592)
TIME_SPECIAL: 116367962664414; POINT_POSITION: (361.504, 158.804, 52.9362); TOOL_DIRECTION: (-0.286092, -0.0310128, -0.9577)
TIME_SPECIAL: 116367979310535; POINT_POSITION: (362.39, 158.39, 52.3258); TOOL_DIRECTION: (-0.280061, -0.0325961, -0.959429)
TIME_SPECIAL: 116367995984246; POINT_POSITION: (363.42, 157.993, 51.5801); TOOL_DIRECTION: (-0.280823, -0.0303183, -0.959281)
TIME_SPECIAL: 116368012673886; POINT_POSITION: (364.86, 157.46, 50.5057); TOOL_DIRECTION: (-0.275554, -0.0297404, -0.960825)
TIME_SPECIAL: 116368029327118; POINT_POSITION: (366.37, 156.698, 49.3857); TOOL_DIRECTION: (-0.276223, -0.0261646, -0.960737)
TIME_SPECIAL: 116368046040082; POINT_POSITION: (368.397, 155.5, 47.7162); TOOL_DIRECTION: (-0.271678, -0.0303159, -0.96191)
TIME_SPECIAL: 116368062677669; POINT_POSITION: (370.132, 154.165, 46.0312); TOOL_DIRECTION: (-0.274164, -0.0279116, -0.961278)
