PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 156181132218073
TIME_WORD_START: 156181132877979; WORD_VALUE: shier
TIME_SPECIAL: 156182927694818; POINT_POSITION: (214.132, 175.779, 23.0486); TOOL_DIRECTION: (-0.107198, 0.0167239, -0.994097)
TIME_SPECIAL: 156182944404085; POINT_POSITION: (207.674, 174.127, 19.8386); TOOL_DIRECTION: (-0.10507, 0.0195313, -0.994273)
TIME_SPECIAL: 156182961030863; POINT_POSITION: (204.214, 173.717, 17.9781); TOOL_DIRECTION: (-0.102857, 0.02264, -0.994438)
TIME_SPECIAL: 156182977742405; POINT_POSITION: (200.852, 173.319, 16.4977); TOOL_DIRECTION: (-0.101867, 0.0243238, -0.994501)
TIME_SPECIAL: 156182994396490; POINT_POSITION: (198.078, 172.834, 14.7865); TOOL_DIRECTION: (-0.100643, 0.0248032, -0.994613)
TIME_SPECIAL: 156183011078450; POINT_POSITION: (196.777, 172.642, 13.844); TOOL_DIRECTION: (-0.10039, 0.0256217, -0.994618)
TIME_SPECIAL: 156183027761833; POINT_POSITION: (192.804, 171.992, 12.1582); TOOL_DIRECTION: (-0.0999734, 0.0265464, -0.994636)
TIME_SPECIAL: 156183044399704; POINT_POSITION: (190.942, 171.808, 10.757); TOOL_DIRECTION: (-0.0988753, 0.0283002, -0.994697)
TIME_SPECIAL: 156183061114091; POINT_POSITION: (189.919, 171.682, 9.5794); TOOL_DIRECTION: (-0.0974693, 0.0297078, -0.994795)
TIME_SPECIAL: 156183077726647; POINT_POSITION: (188.246, 172.125, 8.54103); TOOL_DIRECTION: (-0.0969649, 0.0335455, -0.994722)
TIME_SPECIAL: 156183094431363; POINT_POSITION: (186.839, 172.297, 7.58843); TOOL_DIRECTION: (-0.0963972, 0.0354041, -0.994713)
TIME_SPECIAL: 156183111138923; POINT_POSITION: (185.339, 172.095, 6.83934); TOOL_DIRECTION: (-0.0953731, 0.0365062, -0.994772)
TIME_SPECIAL: 156183127742946; POINT_POSITION: (183.803, 171.469, 6.22104); TOOL_DIRECTION: (-0.0942916, 0.0361141, -0.994889)
TIME_SPECIAL: 156183144476959; POINT_POSITION: (183.049, 170.974, 5.60193); TOOL_DIRECTION: (-0.0933679, 0.0361646, -0.994975)
TIME_SPECIAL: 156183161117390; POINT_POSITION: (183.096, 170.924, 4.86203); TOOL_DIRECTION: (-0.0922583, 0.0373644, -0.995034)
TIME_SPECIAL: 156183177811582; POINT_POSITION: (183.906, 170.734, 4.0512); TOOL_DIRECTION: (-0.09008, 0.0375626, -0.995226)
TIME_SPECIAL: 156183194462253; POINT_POSITION: (185.656, 171.164, 2.99936); TOOL_DIRECTION: (-0.0869521, 0.0408871, -0.995373)
TIME_SPECIAL: 156183211137387; POINT_POSITION: (187.263, 171.969, 1.99138); TOOL_DIRECTION: (-0.0845645, 0.0448312, -0.995409)
TIME_PRESSED: 156183211189724; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_SPECIAL: 156183227848360; POINT_POSITION: (188.167, 172.649, 1.44716); TOOL_DIRECTION: (-0.0831251, 0.0482888, -0.995368)
TIME_SPECIAL: 156183244499600; POINT_POSITION: (190.057, 174.348, 0.281808); TOOL_DIRECTION: (-0.0802784, 0.0556416, -0.995218)
TIME_SPECIAL: 156183261163072; POINT_POSITION: (192.852, 175.972, 0); TOOL_DIRECTION: (-0.0757278, 0.0611131, -0.995254)
TIME_SPECIAL: 156183277811752; POINT_POSITION: (192.852, 175.972, 0); TOOL_DIRECTION: (-0.0757278, 0.0611131, -0.995254)
