PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 154873377644387
TIME_WORD_START: 154873378223511; WORD_VALUE: tom
TIME_SPECIAL: 154874456482634; POINT_POSITION: (390.238, 304.348, 434.558); TOOL_DIRECTION: (0.0299902, 0.256334, -0.966123)
TIME_SPECIAL: 154874473147243; POINT_POSITION: (390.238, 304.348, 434.558); TOOL_DIRECTION: (0.0299902, 0.256334, -0.966123)
TIME_SPECIAL: 154874489845132; POINT_POSITION: (390.003, 303.318, 434.558); TOOL_DIRECTION: (0.0376945, 0.21304, -0.976316)
TIME_SPECIAL: 154874506613278; POINT_POSITION: (387.767, 305.168, 0); TOOL_DIRECTION: (0.0376034, 0.209645, -0.977054)
TIME_PRESSED: 154874506647127; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 154874523203648; POINT_POSITION: (389.592, 305.144, 0); TOOL_DIRECTION: (0.069507, 0.163365, -0.984114)
TIME_SPECIAL: 154874539911208; POINT_POSITION: (388.195, 307.353, 0); TOOL_DIRECTION: (0.0353989, 0.359186, -0.932595)
TIME_SPECIAL: 154874556592599; POINT_POSITION: (381.739, 313.37, 0); TOOL_DIRECTION: (-0.00641047, 0.481232, -0.87657)
TIME_SPECIAL: 154874573267448; POINT_POSITION: (383.731, 312.067, 0); TOOL_DIRECTION: (0.00637843, 0.400074, -0.916461)
TIME_SPECIAL: 154874589900200; POINT_POSITION: (386.053, 311.329, 0); TOOL_DIRECTION: (0.0130091, 0.379037, -0.92529)
TIME_SPECIAL: 154874606579031; POINT_POSITION: (388.589, 308.168, 0); TOOL_DIRECTION: (0.0159782, 0.313199, -0.949553)
TIME_SPECIAL: 154874623268956; POINT_POSITION: (391.57, 307.945, 0); TOOL_DIRECTION: (0.0198374, 0.305696, -0.951922)
TIME_SPECIAL: 154874639885494; POINT_POSITION: (395.223, 308.695, 0); TOOL_DIRECTION: (0.0229994, 0.310695, -0.950231)
TIME_SPECIAL: 154874656618654; POINT_POSITION: (401.019, 307.289, 0); TOOL_DIRECTION: (0.0343954, 0.267893, -0.962834)
TIME_SPECIAL: 154874673277006; POINT_POSITION: (409.534, 302.761, 0); TOOL_DIRECTION: (0.0643366, 0.181634, -0.981259)
TIME_SPECIAL: 154874689980584; POINT_POSITION: (409.255, 312.405, 0); TOOL_DIRECTION: (0.0629896, 0.30611, -0.94991)
TIME_SPECIAL: 154874706640073; POINT_POSITION: (406.593, 312.626, 0); TOOL_DIRECTION: (0.0393869, 0.373386, -0.926839)
