KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [falls, tin, sires, sicker, shier, coy, hailed, dipped, find, mans, core, bale, tales, dubbed, sue]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [8.61139, 19.588068, 8.026952, 21.185532, 20.263197, 16.066374, 23.366444, 16.300734, 20.680779, 17.17098, 20.481394, 18.586817, 20.886814, 24.475044, 18.187284]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [8.61139, 19.588068, 8.026952, 21.185532, 20.263197, 16.066374, 23.366444, 16.300734, 20.680779, 17.17098, 20.481394, 18.586817, 20.886814, 24.475044, 18.187284]
ERROR_RATE_KSPC: [3.0, 1.0, 2.2, 1.0, 1.0, 1.0, 1.0, 1.6666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [3.0, 1.0, 2.2, 1.0, 1.0, 1.0, 1.0, 1.6666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [33.333336, 0.0, 27.272728, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MWD: [20.0]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [0.0]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [20.0]
TOTAL_ERROR_RATE: [50.0, 0.0, 37.5, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [50.0, 0.0, 37.5, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [33.333336, 0.0, 27.272728, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [577.0312, 111.305885, 371.09836, 202.80533, 172.02615, 179.47145, 236.48466, 334.00598, 148.49243, 253.03162, 180.31361, 291.29022, 281.29877, 141.06027, 160.56151]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [577.0312, 111.305885, 371.09836, 202.80533, 172.02615, 179.47145, 236.48466, 334.00598, 148.49243, 253.03162, 180.31361, 291.29022, 281.29877, 141.06027, 160.56151]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [350.14282, 111.305885, 381.05774, 202.80533, 172.02615, 179.47145, 236.48466, 334.00598, 148.49243, 253.03162, 180.31361, 291.29022, 281.29877, 141.06027, 160.56151]
KEYBOARD_TYPE: leapSurface
PRACTICE_WORDS_PER_INPUT: 4
WORD_ORDER: [fire, bales, ripped, owns, mailed, galls, tub, vale, docket, fores, hot, shies, rubbed, rubs, dot]
NUMBER_OF_TIMES_PLANE_BREACHED: [2, 17, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [816.7402, 6345.5947, 1731.6758, 1512.1145, 1819.8839, 1563.1777, 437.04028, 1511.8358, 1739.64, 940.99646, 510.96115, 2187.5789, 1067.592, 835.1384, 776.4959]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [816.7402, 6345.5947, 1731.6758, 1512.1145, 1819.8839, 1563.1777, 437.04028, 1511.8358, 1739.64, 940.99646, 510.96115, 2187.5789, 1067.592, 835.1384, 776.4959]
TIME_DURATION_TOUCH_ONLY: [1.6311698, 14.906929, 2.0139592, 2.2019393, 2.9808857, 1.7530658, 1.3542112, 1.4564965, 2.737377, 1.494835, 0.7529831, 1.4551468, 1.7043368, 1.1691371, 1.0690535]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.6311698, 14.906929, 2.0139592, 2.2019393, 2.9808857, 1.7530658, 1.3542112, 1.4564965, 2.737377, 1.494835, 0.7529831, 1.4551468, 1.7043368, 1.1691371, 1.0690535]
AVERAGE_PIXEL_VELOCITY: [499.91333, 442.7436, 401.8541, 687.0787, 609.76764, 892.85803, 323.6789, 1042.1537, 636.22046, 627.1772, 681.18774, 493.14572, 627.829, 715.5539, 727.66016]
REACTION_TIME_FIRST_PRESSED: [1.376437, 2.6676028, 7.236276, 1.2837749, 1.450419, 1.3337592, 1.2502763, 1.4171224, 1.2337233, 1.3504332, 1.117055, 5.9857635, 1.2670606, 1.750596, 1.0669906]
REACTION_TIME_FIRST_TOUCH: [1.376437, 2.6676028, 0.016488824, 1.2837749, 1.450419, 1.3337592, 1.2502763, 1.4171224, 1.2337233, 1.3504332, 1.117055, 0.98357064, 1.2670606, 1.750596, 1.0669906]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 2.667729, 1.6840457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4010227, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [22.070051, 3.219979, 29.792063, 16.349226, 20.128246, 27.380606, 17.722494, 24.716846, 21.918793, 32.11057, 31.873228, 32.986362, 35.20431, 30.79194, 22.449766]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [22.070051, 3.219979, 29.792063, 16.349226, 20.128246, 27.380606, 17.722494, 24.716846, 21.918793, 32.11057, 31.873228, 32.986362, 35.20431, 30.79194, 22.449766]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [15.959533, 3.4140313, 7.7835855, 13.770493, 16.248035, 19.437449, 13.822298, 16.703676, 18.130995, 21.087645, 19.250944, 8.063529, 24.231024, 16.43986, 16.853586]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [15.959533, 3.4140313, 7.7835855, 13.770493, 16.248035, 19.437449, 13.822298, 16.703676, 18.130995, 21.087645, 19.250944, 8.063529, 24.231024, 16.43986, 16.853586]
ERROR_RATE_KSPC: [1.0, 6.3333335, 1.5714285, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.6, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 6.3333335, 1.5714285, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.6, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 16.666668, 14.285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 44.736843, 27.272728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.769232, 0.0, 0.0, 0.0]
ERROR_RATE_MWD: [20.0]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [13.333334]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [20.0]
TOTAL_ERROR_RATE: [0.0, 77.27273, 33.333336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44.444447, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 77.27273, 33.333336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44.444447, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 44.736843, 27.272728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.769232, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [138.50261, 626.3028, 394.68573, 252.97595, 261.6075, 284.98746, 75.48874, 295.87616, 202.06421, 184.57211, 145.5114, 358.37482, 145.85197, 149.90616, 193.83592]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [138.50261, 626.3028, 394.68573, 252.97595, 261.6075, 284.98746, 75.48874, 295.87616, 202.06421, 184.57211, 145.5114, 358.37482, 145.85197, 149.90616, 193.83592]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [138.50261, 626.3028, 253.33034, 252.97595, 261.6075, 284.98746, 75.48874, 295.87616, 202.06421, 184.57211, 145.5114, 385.66827, 145.85197, 149.90616, 193.83592]
KEYBOARD_TYPE: leapAirStatic
PRACTICE_WORDS_PER_INPUT: 5
WORD_ORDER: [rind, sire, hales, lane, gape, rub, sores, subbed, shirt, bailed, balls, sir, yipped, got, socket]
NUMBER_OF_TIMES_PLANE_BREACHED: [7, 1, 5, 1, 5, 6, 7, 1, 1, 4, 1, 1, 1, 1, 3]
DISTANCE_TRAVELED_TOUCH_ONLY: [2061.7153, 876.6911, 1887.498, 1753.8293, 2226.3076, 1375.9557, 1962.1311, 1063.7245, 1075.234, 2841.0452, 1681.4857, 797.24615, 1094.5331, 677.983, 2303.5308]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [2061.7153, 876.6911, 1887.498, 1753.8293, 2226.3076, 1375.9557, 1962.1311, 1063.7245, 1075.234, 2742.4563, 1681.4857, 797.24615, 1094.5331, 677.983, 2303.5308]
TIME_DURATION_TOUCH_ONLY: [6.8786416, 2.0702302, 4.672726, 3.2079096, 3.6524782, 5.331046, 5.7209554, 3.0957022, 2.4130738, 5.854664, 2.8119318, 2.1959145, 2.8081849, 1.885584, 3.9618711]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [6.8786416, 2.0702302, 4.672726, 3.2079096, 3.6524782, 5.331046, 5.7209554, 3.0957022, 2.4130738, 5.3803687, 2.8119318, 2.1959145, 2.8081849, 1.885584, 3.9618711]
AVERAGE_PIXEL_VELOCITY: [300.86786, 424.00827, 404.29056, 547.85815, 380.39374, 257.90466, 344.05746, 343.01242, 444.74802, 485.3905, 596.7055, 362.22812, 390.63333, 359.63226, 411.18155]
REACTION_TIME_FIRST_PRESSED: [2.8631074, 1.767299, 2.45093, 2.100754, 10.120925, 2.2841673, 1.6506323, 1.6839262, 1.6339352, 2.701064, 2.3008637, 1.6672772, 1.467153, 1.3337672, 6.1859164]
REACTION_TIME_FIRST_TOUCH: [2.8631074, 1.767299, 2.45093, 2.100754, 2.0174453, 2.2841673, 1.6506323, 1.6839262, 1.6339352, 2.701064, 2.3008637, 1.6672772, 1.467153, 1.3337672, 1.1670707]
AVERAGE_REACTION_TIME_TO_ERRORS: [2.1425285, 0.0, 2.634449, 0.0, 1.6256194, 1.4672682, 2.100841, 0.0, 0.0, 1.9924611, 0.0, 0.0, 0.0, 0.0, 1.4172251]
TEXT_ENTRY_RATE_WPM: [5.2335916, 17.389372, 10.272376, 11.222262, 9.856322, 4.501931, 8.390207, 19.38171, 19.891644, 10.24824, 17.070114, 10.929388, 21.366116, 12.728152, 15.144359]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [5.2335916, 17.389372, 10.272376, 11.222262, 9.856322, 4.501931, 8.390207, 19.38171, 19.891644, 11.151652, 17.070114, 10.929388, 21.366116, 12.728152, 15.144359]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [4.9272466, 12.508048, 8.422641, 9.041823, 3.4849775, 4.7273793, 8.139359, 15.063933, 14.825763, 8.415416, 11.735263, 9.318721, 16.840775, 11.182377, 7.0951433]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [4.9272466, 12.508048, 8.422641, 9.041823, 3.4849775, 4.7273793, 8.139359, 15.063933, 14.825763, 8.909312, 11.735263, 9.318721, 16.840775, 11.182377, 7.0951433]
ERROR_RATE_KSPC: [5.5, 1.0, 2.2, 1.0, 3.0, 4.3333335, 3.0, 1.0, 1.0, 2.3333333, 1.0, 1.0, 1.0, 1.0, 1.6666666]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [5.5, 1.0, 2.2, 1.0, 3.0, 4.3333335, 3.0, 1.0, 1.0, 1.8571428, 1.0, 1.0, 1.0, 1.0, 1.6666666]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [40.909092, 0.0, 27.272728, 0.0, 33.333336, 38.46154, 33.333336, 0.0, 0.0, 28.57143, 0.0, 0.0, 0.0, 0.0, 20.0]
ERROR_RATE_MWD: [46.666668]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [6.666667]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [46.666668]
TOTAL_ERROR_RATE: [69.230774, 0.0, 37.5, 0.0, 50.0, 62.5, 50.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 25.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [69.230774, 0.0, 37.5, 0.0, 50.0, 62.5, 50.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 25.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [40.909092, 0.0, 27.272728, 0.0, 33.333336, 38.46154, 33.333336, 0.0, 0.0, 28.57143, 0.0, 0.0, 0.0, 0.0, 20.0]
FRECHET_DISTANCE_TOUCH_ONLY: [404.13715, 204.60931, 396.25333, 295.044, 507.20856, 469.88034, 340.1968, 166.33844, 145.11981, 694.94244, 285.25406, 203.66989, 249.67592, 145.7096, 307.13202]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [404.13715, 204.60931, 396.25333, 295.044, 507.20856, 469.88034, 340.1968, 166.33844, 145.11981, 379.07568, 285.25406, 203.66989, 249.67592, 145.7096, 307.13202]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [340.02393, 204.60931, 290.93958, 295.044, 315.7263, 229.97203, 262.1657, 166.33844, 145.11981, 379.07568, 285.25406, 203.66989, 249.67592, 145.7096, 280.76776]
KEYBOARD_TYPE: leapAirPinch
PRACTICE_WORDS_PER_INPUT: 6
WORD_ORDER: [sure, cores, rim, fins, games, gamma, soy, finned, gale, rocket, tipped, shift, jailed, fit, mane]
NUMBER_OF_TIMES_PLANE_BREACHED: [4, 1, 1, 3, 1, 1, 1, 1, 6, 7, 2, 10, 21, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [2266.4292, 1359.8845, 878.36115, 2163.9946, 1942.9653, 1974.7041, 1147.5776, 1321.3606, 4587.649, 5149.618, 2184.0916, 5708.8623, 11080.593, 1076.7307, 1719.7244]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [2266.4292, 1359.8845, 878.36115, 1549.2762, 1942.9653, 1974.7041, 1147.5776, 1321.3606, 4140.1763, 4513.432, 1689.7292, 4425.835, 11080.593, 1076.7307, 1719.7244]
TIME_DURATION_TOUCH_ONLY: [2.797948, 2.0888486, 1.5431343, 3.422104, 2.7465272, 1.80496, 1.1519067, 1.7477627, 2.0573893, 4.41738, 2.5194705, 8.817129, 11.183777, 1.4746166, 2.2474225]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.797948, 2.0888486, 1.5431343, 2.163508, 2.7465272, 1.80496, 1.1519067, 1.7477627, 1.9044113, 3.854805, 2.0974483, 5.5900764, 11.183777, 1.4746166, 2.2474225]
AVERAGE_PIXEL_VELOCITY: [809.08624, 652.4045, 566.4755, 632.74176, 706.0719, 1096.8748, 996.68567, 754.3766, 948.60034, 1165.8257, 867.68536, 648.6141, 757.8213, 733.1697, 763.0933]
REACTION_TIME_FIRST_PRESSED: [1.8933007, 2.3341947, 1.200322, 1.4838843, 1.5338608, 0.8668788, 1.3838159, 0.7668403, 6.0525036, 1.2671394, 1.4338132, 1.450499, 14.973041, 1.1670597, 2.3341372]
REACTION_TIME_FIRST_TOUCH: [1.8933007, 2.3341947, 1.200322, 1.4838843, 1.5338608, 0.8668788, 1.3838159, 0.7668403, 0.21660209, 1.2671394, 1.4338132, 1.450499, 3.2346108, 1.1670597, 2.3341372]
AVERAGE_REACTION_TIME_TO_ERRORS: [2.7344275, 0.0, 0.0, 1.5338887, 0.0, 0.0, 0.0, 0.0, 1.9675174, 1.4784179, 1.0171007, 1.3727556, 1.7888223, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [12.866572, 22.979168, 15.552762, 10.519844, 17.476616, 26.593388, 20.83502, 34.3296, 17.497906, 13.582712, 23.814528, 5.4439487, 5.364914, 16.275417, 16.01835]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [12.866572, 22.979168, 15.552762, 16.639645, 17.476616, 26.593388, 20.83502, 34.3296, 18.903479, 15.564989, 28.606186, 8.586645, 5.364914, 16.275417, 16.01835]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [10.231818, 13.56532, 13.122133, 9.783961, 14.017423, 22.456446, 14.197136, 28.632751, 5.9186974, 12.665979, 18.212708, 5.843609, 2.7526283, 13.62771, 10.476782]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [10.231818, 13.56532, 13.122133, 13.160088, 14.017423, 22.456446, 14.197136, 28.632751, 6.0324893, 14.057161, 20.389315, 8.522031, 2.7526283, 13.62771, 10.476782]
ERROR_RATE_KSPC: [2.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 4.0, 2.3333333, 1.3333334, 6.2, 7.3333335, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.8571428, 1.0, 4.0, 7.3333335, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 20.0, 14.285715, 14.285715, 16.666668, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [25.0, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 37.5, 28.57143, 12.5, 41.935482, 43.18182, 0.0, 0.0]
ERROR_RATE_MWD: [46.666668]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [33.333336]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [46.666668]
TOTAL_ERROR_RATE: [33.333336, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 60.000004, 40.0, 14.285715, 72.22222, 76.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [33.333336, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 60.000004, 40.0, 14.285715, 66.66667, 76.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [25.0, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 37.5, 28.57143, 12.5, 41.935482, 43.18182, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [589.8221, 439.3413, 434.66077, 880.6965, 437.2613, 439.56552, 436.96344, 436.4422, 806.579, 636.3361, 830.2683, 691.76154, 619.544, 436.1512, 434.71304]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [589.8221, 439.3413, 434.66077, 437.85562, 437.2613, 439.56552, 436.96344, 436.4422, 478.4504, 501.04614, 475.5436, 521.7784, 619.544, 436.1512, 434.71304]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [479.8072, 439.3413, 434.66077, 437.85562, 437.2613, 439.56552, 436.96344, 436.4422, 478.4504, 501.04614, 475.5436, 454.0255, 478.9287, 436.1512, 434.71304]
KEYBOARD_TYPE: leapAirDynamic
PRACTICE_WORDS_PER_INPUT: 6
WORD_ORDER: [fibs, calls, due, fore, gin, nailed, fires, pens, tinned, gales, hale, zit, rocker, topped, shire]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 12, 1, 1, 6, 4, 1, 1, 3, 7, 1, 1, 3, 2, 6]
DISTANCE_TRAVELED_TOUCH_ONLY: [1242.365, 4664.827, 905.60284, 1110.397, 1807.5924, 2625.787, 816.75195, 1551.3522, 1572.5332, 2629.706, 1707.259, 910.2107, 2411.9167, 1372.1682, 1593.7375]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [1242.365, 4664.827, 905.60284, 1110.397, 1807.5924, 2625.787, 816.75195, 1551.3522, 1351.1753, 2629.706, 1707.259, 910.2107, 2411.9167, 1193.8684, 1593.7375]
TIME_DURATION_TOUCH_ONLY: [2.2916408, 2.7526085, 1.974873, 2.4525757, 1.5916519, 4.9734755, 1.5508153, 1.4249258, 2.217156, 4.331315, 1.8042866, 1.1646601, 2.2320585, 1.8600485, 1.4204673]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.2916408, 2.7526085, 1.974873, 2.4525757, 1.5916519, 4.9734755, 1.5508153, 1.4249258, 1.7293217, 4.331315, 1.8042866, 1.1646601, 2.2320585, 1.5417235, 1.4204673]
AVERAGE_PIXEL_VELOCITY: [543.8162, 463.21576, 460.31573, 453.06494, 421.90338, 528.4838, 526.66815, 1094.739, 709.6097, 606.6665, 947.14374, 779.8962, 688.81226, 741.44183, 668.61066]
REACTION_TIME_FIRST_PRESSED: [3.1803513, 17.740915, 1.3171146, 1.4171423, 23.726814, 1.46721, 1.383831, 1.3004249, 1.1170052, 1.533924, 0.79864657, 1.0836991, 4.301741, 1.4004865, 5.919074]
REACTION_TIME_FIRST_TOUCH: [3.1803513, 0.933655, 1.3171146, 1.4171423, 2.434281, 1.46721, 1.383831, 1.3004249, 1.1170052, 1.533924, 0.79864657, 1.0836991, 0.9502889, 1.4004865, 1.8339937]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 1.3797169, 0.0, 0.0, 3.6265135, 1.2338467, 0.0, 0.0, 1.1504455, 1.0837466, 0.0, 0.0, 1.0837437, 1.1004288, 1.2338552]
TEXT_ENTRY_RATE_WPM: [15.70927, 17.438005, 12.15268, 14.678447, 15.078674, 12.063998, 30.951462, 25.264471, 27.061695, 11.082085, 19.952484, 20.60687, 26.881016, 32.257225, 33.7917]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [15.70927, 17.438005, 12.15268, 14.678447, 15.078674, 12.063998, 30.951462, 25.264471, 34.695686, 11.082085, 19.952484, 20.60687, 26.881016, 38.91749, 33.7917]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [8.771943, 2.9277542, 10.935643, 12.404006, 1.4218872, 11.178935, 20.445395, 17.612411, 21.594637, 10.229762, 18.440735, 16.011677, 11.019622, 22.082266, 8.174898]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [8.771943, 2.9277542, 10.935643, 12.404006, 1.4218872, 11.178935, 20.445395, 17.612411, 25.29576, 10.229762, 18.440735, 16.011677, 11.019622, 24.471403, 8.174898]
ERROR_RATE_KSPC: [1.0, 4.0, 1.0, 1.0, 4.3333335, 1.6666666, 1.0, 1.0, 1.6666666, 2.3333333, 1.0, 1.0, 1.6666666, 1.3333334, 1.6666666]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 4.0, 1.0, 1.0, 4.3333335, 1.6666666, 1.0, 1.0, 1.0, 2.3333333, 1.0, 1.0, 1.6666666, 1.0, 1.6666666]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 16.666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 16.666668, 0.0, 0.0, 0.0, 14.285715, 16.666668]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 41.666664, 0.0, 0.0, 38.46154, 20.0, 0.0, 0.0, 20.0, 35.714287, 0.0, 0.0, 20.0, 12.5, 30.000002]
ERROR_RATE_MWD: [53.333336]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [33.333336]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [53.333336]
TOTAL_ERROR_RATE: [0.0, 66.66667, 0.0, 0.0, 62.5, 25.0, 0.0, 0.0, 25.0, 50.0, 0.0, 0.0, 25.0, 14.285715, 37.5]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 66.66667, 0.0, 0.0, 62.5, 25.0, 0.0, 0.0, 25.0, 50.0, 0.0, 0.0, 25.0, 14.285715, 37.5]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 41.666664, 0.0, 0.0, 38.46154, 20.0, 0.0, 0.0, 20.0, 35.714287, 0.0, 0.0, 20.0, 12.5, 30.000002]
FRECHET_DISTANCE_TOUCH_ONLY: [141.95125, 538.2601, 142.28893, 174.30237, 401.20706, 261.41147, 134.91798, 245.37296, 713.9349, 317.86224, 295.3863, 217.08786, 355.6914, 716.83466, 447.49432]
