PRACTICE_WORD_COUNT: 12
TIME_EXPERIMENT_START: 151965488102355
TIME_WORD_START: 151965488818581; WORD_VALUE: fir
TIME_SPECIAL: 151968117484826; POINT_POSITION: (395.601, 192.078, 119.133); TOOL_DIRECTION: (0.0353054, -0.465423, -0.884384)
TIME_SPECIAL: 151968134160244; POINT_POSITION: (396.912, 191.645, 113.347); TOOL_DIRECTION: (0.0310664, -0.463904, -0.88534)
TIME_SPECIAL: 151968150796693; POINT_POSITION: (399.583, 190.471, 106.568); TOOL_DIRECTION: (0.029642, -0.465545, -0.884528)
TIME_SPECIAL: 151968167554884; POINT_POSITION: (401.937, 188.936, 99.8401); TOOL_DIRECTION: (0.0292602, -0.470417, -0.881959)
TIME_SPECIAL: 151968184172276; POINT_POSITION: (402.65, 187.916, 92.1703); TOOL_DIRECTION: (0.0261596, -0.472074, -0.881171)
TIME_SPECIAL: 151968200862200; POINT_POSITION: (403.987, 187.118, 82.507); TOOL_DIRECTION: (0.0247132, -0.471995, -0.881255)
TIME_SPECIAL: 151968217565778; POINT_POSITION: (406.995, 185.23, 72.5785); TOOL_DIRECTION: (0.0264093, -0.480156, -0.876785)
TIME_SPECIAL: 151968234265089; POINT_POSITION: (408.312, 184.688, 67.3575); TOOL_DIRECTION: (0.0267932, -0.481668, -0.875944)
TIME_SPECIAL: 151968250907228; POINT_POSITION: (410.683, 181.272, 55.4706); TOOL_DIRECTION: (0.0247655, -0.500989, -0.865099)
TIME_SPECIAL: 151968267541117; POINT_POSITION: (411.307, 180.625, 51.5425); TOOL_DIRECTION: (0.0240992, -0.504119, -0.863298)
TIME_SPECIAL: 151968284258917; POINT_POSITION: (410.981, 180.179, 44.0178); TOOL_DIRECTION: (0.0201507, -0.504726, -0.863044)
TIME_SPECIAL: 151968300931491; POINT_POSITION: (408.51, 181.258, 35.5857); TOOL_DIRECTION: (0.0125644, -0.494938, -0.868838)
TIME_SPECIAL: 151968317589558; POINT_POSITION: (406.05, 182.052, 28.4382); TOOL_DIRECTION: (0.00712846, -0.486983, -0.873382)
TIME_SPECIAL: 151968334288584; POINT_POSITION: (403.9, 181.547, 24.4655); TOOL_DIRECTION: (0.00623505, -0.492502, -0.870289)
TIME_SPECIAL: 151968350952625; POINT_POSITION: (401.589, 182.248, 19.6531); TOOL_DIRECTION: (0.00816011, -0.492401, -0.87033)
TIME_SPECIAL: 151968367556648; POINT_POSITION: (398.564, 184.532, 17.314); TOOL_DIRECTION: (0.00764175, -0.486937, -0.873404)
TIME_SPECIAL: 151968384230928; POINT_POSITION: (395.48, 186.222, 33.2733); TOOL_DIRECTION: (0.00332545, -0.481512, -0.876433)
TIME_SPECIAL: 151968400959821; POINT_POSITION: (393.636, 187.302, 49.3648); TOOL_DIRECTION: (0.00149626, -0.479576, -0.877499)
TIME_SPECIAL: 151968417605373; POINT_POSITION: (393.636, 187.302, 49.3648); TOOL_DIRECTION: (0.00149626, -0.479576, -0.877499)
TIME_SPECIAL: 151968434299564; POINT_POSITION: (394.854, 187.392, 51.876); TOOL_DIRECTION: (0.00457195, -0.481651, -0.876351)
TIME_SPECIAL: 151968450967302; POINT_POSITION: (396.272, 188.969, 53.5599); TOOL_DIRECTION: (0.00651293, -0.472276, -0.881427)
TIME_SPECIAL: 151968467639875; POINT_POSITION: (396.402, 189.645, 55.9071); TOOL_DIRECTION: (0.00377839, -0.469976, -0.882671)
TIME_SPECIAL: 151968484320413; POINT_POSITION: (396.733, 189.876, 57.4761); TOOL_DIRECTION: (0.00289416, -0.470262, -0.882522)
TIME_SPECIAL: 151968501008631; POINT_POSITION: (397.594, 190.122, 60.8503); TOOL_DIRECTION: (0.00196584, -0.472788, -0.881174)
TIME_SPECIAL: 151968517622041; POINT_POSITION: (398.529, 190.404, 63.9693); TOOL_DIRECTION: (0.00151127, -0.47559, -0.879666)
TIME_SPECIAL: 151968534368854; POINT_POSITION: (399.423, 190.789, 66.3179); TOOL_DIRECTION: (0.00184089, -0.477191, -0.878798)
TIME_SPECIAL: 151968551020948; POINT_POSITION: (400.237, 191.192, 68.0823); TOOL_DIRECTION: (0.00272505, -0.477796, -0.878466)
TIME_SPECIAL: 151968567704899; POINT_POSITION: (400.659, 191.503, 69.2001); TOOL_DIRECTION: (0.00308208, -0.478384, -0.878146)
TIME_SPECIAL: 151968584325988; POINT_POSITION: (400.791, 191.762, 69.9843); TOOL_DIRECTION: (0.00282709, -0.478768, -0.877937)
TIME_SPECIAL: 151968601050899; POINT_POSITION: (401.031, 191.997, 70.2317); TOOL_DIRECTION: (0.00293733, -0.479273, -0.877661)
TIME_SPECIAL: 151968617726602; POINT_POSITION: (399.868, 192.331, 69.0053); TOOL_DIRECTION: (-0.00139324, -0.474746, -0.880122)
TIME_SPECIAL: 151968634374144; POINT_POSITION: (396.6, 192.427, 67.1385); TOOL_DIRECTION: (-0.00908919, -0.47091, -0.882135)
TIME_SPECIAL: 151968651081989; POINT_POSITION: (395.075, 191.823, 67.2114); TOOL_DIRECTION: (-0.00794966, -0.472903, -0.881079)
TIME_SPECIAL: 151968667732091; POINT_POSITION: (395.576, 191.135, 66.7747); TOOL_DIRECTION: (-0.00384672, -0.476334, -0.879256)
TIME_SPECIAL: 151968684415189; POINT_POSITION: (397.76, 190.6, 66.5676); TOOL_DIRECTION: (-0.00011804, -0.480368, -0.877067)
TIME_SPECIAL: 151968701108527; POINT_POSITION: (398.563, 190.543, 65.6059); TOOL_DIRECTION: (0.000925727, -0.479466, -0.87756)
TIME_SPECIAL: 151968717741279; POINT_POSITION: (400.144, 190.627, 64.7443); TOOL_DIRECTION: (0.000875964, -0.478593, -0.878036)
TIME_SPECIAL: 151968734458510; POINT_POSITION: (402.448, 190.248, 56.6314); TOOL_DIRECTION: (0.00559161, -0.483694, -0.875219)
TIME_SPECIAL: 151968751084151; POINT_POSITION: (404.112, 189.142, 0); TOOL_DIRECTION: (0.00557656, -0.479948, -0.877279)
