PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 153168113736448
TIME_WORD_START: 153168114624476; WORD_VALUE: rube
TIME_SPECIAL: 153169190611476; POINT_POSITION: (304.826, 251.104, 127.045); TOOL_DIRECTION: (-0.280132, 0.0366829, -0.95926)
TIME_SPECIAL: 153169207249632; POINT_POSITION: (304.601, 251.588, 127.209); TOOL_DIRECTION: (-0.280706, 0.0381781, -0.959034)
TIME_SPECIAL: 153169223904286; POINT_POSITION: (305.763, 252.788, 127.437); TOOL_DIRECTION: (-0.278805, 0.0435637, -0.959359)
TIME_SPECIAL: 153169240604166; POINT_POSITION: (306.075, 253.574, 127.316); TOOL_DIRECTION: (-0.279051, 0.0458467, -0.959181)
TIME_SPECIAL: 153169257205345; POINT_POSITION: (307.334, 255.389, 126.857); TOOL_DIRECTION: (-0.278146, 0.0511767, -0.959174)
TIME_SPECIAL: 153169273908922; POINT_POSITION: (309.512, 256.888, 125.887); TOOL_DIRECTION: (-0.275106, 0.0555809, -0.959806)
TIME_SPECIAL: 153169290621033; POINT_POSITION: (314.051, 257.148, 125.777); TOOL_DIRECTION: (-0.270385, 0.0486513, -0.961522)
TIME_SPECIAL: 153169307262887; POINT_POSITION: (320.825, 257.657, 124.731); TOOL_DIRECTION: (-0.265124, 0.046888, -0.963074)
TIME_SPECIAL: 153169323941718; POINT_POSITION: (327.672, 258.643, 122.877); TOOL_DIRECTION: (-0.259057, 0.0537633, -0.964365)
TIME_SPECIAL: 153169340585563; POINT_POSITION: (332.445, 256.816, 121.055); TOOL_DIRECTION: (-0.254021, 0.0460007, -0.966104)
TIME_SPECIAL: 153169357287435; POINT_POSITION: (335.077, 255.034, 119.436); TOOL_DIRECTION: (-0.251884, 0.04511, -0.966706)
TIME_SPECIAL: 153169374005803; POINT_POSITION: (336.12, 253.149, 117.69); TOOL_DIRECTION: (-0.250922, 0.041594, -0.967113)
TIME_SPECIAL: 153169390655621; POINT_POSITION: (336.642, 251.999, 115.822); TOOL_DIRECTION: (-0.251307, 0.0438619, -0.966913)
TIME_SPECIAL: 153169407341848; POINT_POSITION: (337.409, 251.565, 113.407); TOOL_DIRECTION: (-0.249523, 0.0475139, -0.967203)
